ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,31,27,22,19,18,17,78,59,35,1020,1017,1015,10,10,9,16,10,,0.00,1,,53
2016-1-2,31,27,22,19,18,16,78,57,33,1019,1016,1013,10,10,10,13,8,,0.00,1,,22
2016-1-3,33,28,22,19,18,17,78,54,29,1017,1015,1012,10,10,9,13,6,,0.00,1,,2
2016-1-4,33,28,23,20,18,17,83,54,27,1017,1014,1012,10,9,6,16,5,,0.00,1,,320
2016-1-5,33,28,23,23,19,16,89,60,26,1017,1013,1010,10,7,2,13,8,,0.00,1,,294
2016-1-6,33,28,22,23,21,19,94,65,34,1019,1014,1011,10,8,3,11,6,,0.00,1,,77
2016-1-7,32,28,23,24,21,18,100,67,37,1016,1014,1011,10,8,3,14,3,,0.00,1,,1
2016-1-8,30,27,24,25,23,19,94,79,49,1016,1014,1011,10,6,2,16,6,,0.00,3,,124
2016-1-9,32,28,24,25,23,17,100,75,32,1014,1012,1010,10,7,2,23,10,,0.00,3,Rain,155
2016-1-10,33,28,24,25,22,17,100,70,31,1015,1012,1010,10,9,5,19,10,,0.00,1,,175
2016-1-11,32,28,24,25,22,18,100,73,36,1015,1013,1010,10,9,6,13,6,,0.00,2,Rain,86
2016-1-12,32,28,23,24,22,19,94,69,40,1015,1012,1009,10,9,6,13,5,,0.00,2,,97
2016-1-13,32,28,23,24,23,21,94,72,43,1014,1011,1009,10,9,6,16,8,,0.00,1,,154
2016-1-14,34,30,25,26,24,21,100,74,41,1014,1011,1008,10,9,3,21,8,,0.00,2,,177
2016-1-15,34,30,26,26,24,22,100,74,39,1012,1009,1007,10,10,8,23,10,,0.00,1,,180
2016-1-16,33,29,26,26,24,21,100,74,44,1012,1009,1007,10,10,10,21,10,,3.05,2,Rain,189
2016-1-17,34,31,27,26,24,21,89,69,38,1011,1009,1006,10,10,10,19,11,,0.00,1,,193
2016-1-18,33,29,25,27,25,22,100,79,51,1011,1009,1006,10,10,10,14,8,,0.00,2,,132
2016-1-19,32,29,26,27,26,23,100,84,53,1013,1010,1008,10,9,1,23,10,,27.94,1,Rain-Thunderstorm,153
2016-1-20,33,29,24,27,25,23,100,81,50,1015,1012,1010,10,10,8,16,10,,4.06,2,Rain,165
2016-1-21,32,29,26,27,26,23,100,85,56,1015,1012,1010,10,9,1,21,6,,16.00,2,Rain,162
2016-1-22,34,30,26,26,24,22,100,73,43,1015,1013,1010,10,10,7,14,8,,0.00,1,,199
2016-1-23,34,29,25,27,25,23,100,78,45,1016,1013,1010,10,9,5,19,8,,0.00,2,,169
2016-1-24,28,23,17,26,21,12,94,80,55,1020,1016,1013,10,10,8,24,14,,0.51,4,Rain,73
2016-1-25,20,18,15,13,11,9,88,64,40,1023,1020,1017,10,10,9,29,16,,0.00,4,,2
2016-1-26,23,19,15,13,11,8,77,57,39,1021,1018,1015,10,9,9,27,21,32,0.00,3,,349
2016-1-27,26,21,16,16,14,13,88,68,41,1019,1016,1013,10,9,8,24,18,,0.00,1,,339
2016-1-28,29,23,18,19,17,15,88,65,41,1016,1014,1011,10,9,8,19,13,,0.00,1,,333
2016-1-29,34,28,22,22,19,18,78,60,36,1016,1013,1010,10,8,5,13,8,,0.00,1,,261
2016-1-30,33,29,24,26,24,21,100,75,43,1014,1011,1009,10,8,3,16,10,,0.00,1,,177
2016-1-31,34,30,26,27,24,22,100,77,41,1013,1011,1009,10,10,5,21,11,,0.00,1,,176
2016-2-1,34,29,25,26,24,21,100,74,37,1014,1011,1009,10,9,5,16,10,,0.00,1,,131
2016-2-2,32,29,26,26,23,20,100,75,44,1015,1012,1010,10,10,8,23,10,,0.00,1,,77
2016-2-3,32,28,23,20,18,17,74,57,33,1016,1013,1010,10,10,10,21,8,,0.00,1,,81
2016-2-4,32,27,22,21,19,18,83,58,33,1016,1012,1009,10,9,8,21,5,,0.00,1,,73
2016-2-5,33,28,23,22,19,17,83,56,29,1015,1011,1008,10,9,8,16,5,,0.00,,,99
2016-2-6,30,26,22,18,16,13,73,52,30,1016,1013,1010,10,10,9,27,13,,0.00,,,83
2016-2-7,26,22,18,14,9,6,64,43,21,1022,1018,1015,14,10,10,24,11,29,0.00,1,,70
2016-2-8,25,20,14,10,8,5,55,42,25,1021,1017,1014,10,10,9,19,13,,0.00,1,,26
2016-2-9,29,23,17,12,11,9,63,45,21,1017,1015,1012,10,8,6,13,8,,0.00,,,33
2016-2-10,32,25,18,16,13,11,68,48,21,1016,1013,1010,10,7,3,14,5,,0.00,,,165
2016-2-11,33,26,19,21,18,15,88,61,35,1014,1011,1009,10,7,3,16,5,,0.00,1,,170
2016-2-12,34,28,22,25,22,19,100,73,38,1014,1011,1009,10,7,2,16,8,,0.00,1,,173
2016-2-13,34,29,24,26,24,21,100,76,41,1014,1011,1009,10,8,1,14,10,,0.00,1,Fog,170
