MYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,32,28,24,25,24,22,100,83,55,1013,1011,1009,10,8,4,11,3,,0.00,6,Rain-Thunderstorm,276
2015-1-2,32,28,24,24,23,21,94,82,58,1013,1011,1009,10,8,4,16,5,,0.00,6,Rain-Thunderstorm,321
2015-1-3,32,28,24,24,24,23,94,84,59,1013,1011,1009,10,7,4,11,2,,0.00,6,Thunderstorm,107
2015-1-4,32,28,24,24,23,22,94,80,55,1012,1010,1008,10,8,4,14,3,,0.00,6,,299
2015-1-5,33,29,25,24,24,23,94,79,55,1011,1010,1007,10,8,4,13,5,,0.00,6,,308
2015-1-6,31,28,25,25,24,23,94,86,66,1011,1009,1007,10,7,4,13,5,,0.00,6,Rain-Thunderstorm,326
2015-1-7,31,28,25,25,24,23,94,85,66,1012,1010,1008,10,8,3,23,5,,0.00,6,Rain-Thunderstorm,341
2015-1-8,31,27,24,24,23,23,100,88,62,1013,1011,1009,10,8,4,11,3,,0.00,7,Rain-Thunderstorm,334
2015-1-9,30,27,23,24,23,22,100,83,62,1014,1012,1010,10,9,4,10,5,,0.00,7,Rain,144
2015-1-10,33,28,24,24,23,22,94,73,55,1013,1011,1008,10,10,9,11,5,,0.00,6,,164
2015-1-11,32,28,25,25,24,23,94,83,62,1013,1011,1008,10,9,7,10,3,,0.00,6,Rain,130
2015-1-12,34,29,25,24,22,21,83,68,46,1012,1010,1007,10,9,7,11,5,,0.00,6,,65
2015-1-13,33,29,25,24,22,21,89,69,49,1012,1010,1008,10,9,8,8,3,,0.00,6,,57
2015-1-14,35,30,25,25,22,20,94,69,44,1013,1011,1009,10,10,10,14,5,,0.00,6,,61
2015-1-15,35,29,24,24,22,19,89,71,39,1013,1012,1009,10,10,7,14,3,,0.00,6,,33
2015-1-16,33,28,23,24,22,18,94,71,41,1014,1012,1009,10,9,6,16,5,,0.00,6,,315
2015-1-17,33,28,24,24,22,19,94,73,43,1013,1012,1009,10,8,5,16,5,,0.00,6,Rain,301
2015-1-18,34,29,24,24,22,20,94,73,46,1014,1012,1009,10,8,6,14,5,,0.00,6,Rain,118
2015-1-19,33,28,24,24,22,19,94,75,46,1014,1012,1009,10,9,6,14,5,,0.00,6,Rain,62
2015-1-20,33,29,25,24,21,19,94,68,43,1015,1013,1011,10,9,6,11,5,,0.00,6,,58
2015-1-21,33,28,24,25,22,21,89,75,49,1016,1014,1012,10,9,6,16,3,,0.00,6,Rain,45
2015-1-22,31,28,25,24,23,23,94,81,66,1017,1014,1012,10,8,4,13,3,,0.00,6,Thunderstorm,172
2015-1-23,32,28,24,24,22,20,94,77,49,1014,1012,1009,10,8,6,19,3,,0.00,6,Rain,123
2015-1-24,31,27,24,24,23,22,100,81,62,1015,1012,1011,9,6,4,8,3,,0.00,6,,289
2015-1-25,33,28,24,25,23,22,94,79,52,1014,1012,1011,10,7,3,13,3,,0.00,6,Rain,105
2015-1-26,33,29,25,25,24,23,94,82,55,1014,1012,1009,10,6,0,21,5,,0.00,6,Rain-Thunderstorm,38
2015-1-27,33,29,25,25,24,22,100,81,52,1013,1011,1008,10,7,3,16,3,,0.00,6,,172
2015-1-28,33,29,25,25,23,20,89,74,46,1012,1010,1008,10,8,5,13,3,,0.00,6,,109
2015-1-29,33,29,25,24,23,22,94,81,55,1013,1011,1009,10,7,3,26,3,,0.00,6,Rain-Thunderstorm,294
2015-1-30,33,28,24,24,23,22,94,80,55,1014,1011,1010,10,7,3,19,3,,0.00,6,Rain-Thunderstorm,304
2015-1-31,33,28,24,25,24,22,94,80,52,1014,1012,1010,10,8,4,13,5,,0.00,6,,290
2015-2-1,33,28,24,25,21,17,94,66,38,1014,1012,1009,10,9,6,13,3,,0.00,6,,51
2015-2-2,34,28,22,22,20,18,88,65,43,1015,1012,1011,10,10,8,14,5,,0.00,6,,117
2015-2-3,33,28,24,24,22,19,94,73,43,1015,1014,1012,10,9,4,14,5,,0.00,6,Rain-Thunderstorm,323
2015-2-4,32,28,25,24,22,21,94,74,55,1015,1013,1011,10,10,8,11,3,,0.00,6,,52
2015-2-5,32,29,26,24,22,20,83,68,52,1014,1012,1009,10,10,9,10,5,,0.00,6,,8
2015-2-6,32,29,25,24,22,21,89,69,52,1015,1012,1009,10,9,1,11,5,,0.00,6,Rain,317
2015-2-7,33,28,24,24,22,20,94,73,46,1013,1011,1009,10,9,6,10,3,,0.00,6,,7
2015-2-8,33,29,25,23,21,20,83,63,46,1013,1011,1009,10,10,7,11,5,,0.00,6,,67
2015-2-9,33,28,23,24,21,20,88,68,46,1014,1012,1010,10,10,8,13,3,,0.00,6,,34
2015-2-10,34,29,24,24,22,19,83,67,43,1014,1012,1009,10,9,6,16,5,,0.00,6,,345
2015-2-11,31,28,25,24,22,21,89,73,55,1014,1012,1009,10,9,6,16,5,,0.00,6,,167
2015-2-12,32,28,24,24,23,21,94,73,52,1013,1011,1008,10,7,3,16,3,,0.00,6,,233
2015-2-13,34,29,25,24,22,19,89,70,43,1012,1010,1008,10,9,5,19,5,,0.00,6,,351
2015-2-14,33,29,25,25,23,22,89,73,52,1012,1010,1007,10,8,5,16,5,,0.00,6,,112
2015-2-15,34,29,25,24,23,22,89,71,49,1012,1010,1007,10,8,5,14,5,,0.00,6,,91
2015-2-16,34,29,25,25,23,21,94,76,46,1012,1010,1007,10,8,5,16,6,,0.00,6,Rain-Thunderstorm,352
2015-2-17,34,29,24,25,23,21,94,76,46,1011,1009,1007,10,8,5,14,3,,0.00,6,,304
2015-2-18,34,29,24,25,23,21,94,79,49,1014,1010,1008,10,7,3,24,5,,0.00,6,Rain-Thunderstorm,310
2015-2-19,34,28,23,23,22,19,100,76,46,1014,1012,1008,10,9,5,16,5,,0.00,6,Rain,77
2015-2-20,34,29,25,24,23,22,94,73,49,1013,1011,1008,10,9,5,14,5,,0.00,6,,156
2015-2-21,35,29,24,23,21,19,89,62,39,1012,1010,1007,10,10,9,23,6,,0.00,6,,134
2015-2-22,35,30,25,24,23,21,83,67,47,1012,1010,1008,10,10,9,14,5,,0.00,6,,262
2015-2-23,34,30,26,25,24,23,89,72,56,1013,1011,1009,10,10,9,21,6,,0.00,6,Thunderstorm,315
