GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,9,4,1,7,4,0,100,88,70,1023,1016,1004,29,11,4,32,13,,1.02,6,Rain,119
2016-1-2,11,9,8,11,9,7,100,93,87,1004,998,994,29,9,3,32,24,,6.10,7,Rain,162
2016-1-3,9,7,5,9,6,2,100,89,76,1003,991,984,31,12,3,34,21,50,7.11,6,Rain,193
2016-1-4,11,8,6,8,6,4,100,89,74,984,983,982,24,12,7,23,13,32,0.25,3,Rain,183
2016-1-5,10,8,5,8,7,5,100,92,83,990,985,982,29,12,5,21,13,,0.00,5,Fog-Rain,193
2016-1-6,8,6,4,7,6,4,100,94,84,997,994,990,13,7,3,19,5,,0.25,6,Fog-Rain,154
2016-1-7,11,7,3,10,4,0,100,80,55,1000,989,980,31,11,6,42,23,64,6.10,6,Rain,228
2016-1-8,9,4,0,7,4,-1,100,87,71,1001,999,997,31,13,10,21,13,34,0.25,4,Rain,195
2016-1-9,11,8,6,9,7,4,94,87,76,997,990,982,31,12,5,35,18,47,7.11,5,Rain,183
2016-1-10,9,7,4,5,3,2,93,82,64,987,985,982,31,14,8,29,19,,2.03,3,Rain,199
2016-1-11,7,6,4,6,4,3,98,91,81,990,983,978,31,12,5,21,13,29,1.02,6,Rain,239
2016-1-12,7,6,3,4,3,2,97,81,68,1009,998,990,31,13,10,35,23,45,0.25,5,Rain,269
2016-1-13,7,4,2,4,2,0,93,78,55,1016,1013,1006,27,13,7,32,19,34,2.03,4,Rain,239
2016-1-14,5,3,2,4,0,-4,94,75,48,1014,1007,1003,27,11,10,32,19,53,0.25,6,Rain,277
2016-1-15,6,3,1,0,-1,-2,93,74,52,1026,1020,1014,31,12,10,21,16,,0.00,3,,295
2016-1-16,5,2,-1,1,-1,-2,93,79,57,1030,1029,1026,24,12,6,14,10,,0.51,5,Rain-Snow,291
2016-1-17,4,2,0,2,1,0,100,88,74,1029,1025,1019,31,11,1,24,11,,2.03,7,Rain-Snow,114
