PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,15,9,3,3,-2,-7,76,53,29,1022,1020,1018,16,16,14,11,2,18,0.00,0,,90
2015-1-2,16,10,4,5,2,-3,79,58,36,1022,1020,1018,16,16,14,10,1,14,0.00,0,,285
2015-1-3,17,11,4,7,4,1,83,65,46,1026,1024,1021,16,15,11,11,2,16,0.00,0,,14
2015-1-4,21,13,6,9,4,0,89,58,27,1028,1026,1024,16,15,10,11,2,18,0.00,0,,333
2015-1-5,27,19,10,3,-2,-6,48,30,12,1025,1022,1020,16,16,16,11,2,16,0.00,0,,13
2015-1-6,29,22,14,2,-2,-6,32,21,10,1023,1021,1018,16,16,16,11,4,16,0.00,0,,19
2015-1-7,29,21,12,7,2,-2,57,37,16,1020,1019,1017,16,16,16,11,1,18,0.00,0,,326
2015-1-8,24,17,11,11,8,4,77,53,29,1018,1017,1015,16,15,8,13,1,23,0.00,0,,180
2015-1-9,22,18,13,13,11,5,87,61,34,1017,1016,1014,14,10,4,11,1,18,0.00,0,,115
2015-1-10,17,14,11,13,11,8,93,77,60,1017,1016,1014,13,6,2,10,1,14,12.19,7,Rain,74
2015-1-11,17,16,13,13,13,12,93,86,78,1020,1016,1015,16,6,2,13,1,16,12.70,7,Rain,81
2015-1-12,19,16,12,13,12,11,93,78,63,1023,1020,1019,11,6,3,13,1,16,0.00,5,,116
2015-1-13,20,16,12,12,11,8,93,71,48,1021,1019,1016,16,8,4,13,1,19,0.00,4,,305
2015-1-14,23,16,8,10,5,0,80,52,23,1023,1021,1020,16,16,14,14,1,21,0.00,0,,325
2015-1-15,24,18,11,6,1,-3,55,36,17,1025,1023,1021,16,16,16,14,3,23,0.00,0,,27
2015-1-16,25,18,10,10,2,-3,77,47,16,1022,1020,1019,16,16,16,10,2,16,0.00,0,,60
2015-1-17,26,18,10,9,3,-2,72,44,16,1023,1021,1019,16,16,14,13,2,21,0.00,0,,316
2015-1-18,24,18,12,12,7,4,86,58,29,1024,1022,1021,16,14,8,11,1,14,0.00,0,,270
2015-1-19,22,16,10,13,10,6,93,64,35,1021,1019,1017,16,8,4,10,0,14,0.00,0,,280
2015-1-20,17,14,12,12,11,11,100,86,72,1017,1015,1013,6,3,0,13,1,19,0.00,6,Fog,280
2015-1-21,22,17,12,11,10,9,80,64,47,1019,1016,1014,14,6,3,10,1,16,0.00,4,,45
2015-1-22,24,16,8,7,1,-8,83,48,12,1024,1022,1019,16,16,11,11,0,14,0.00,0,,190
2015-1-23,24,17,10,2,-4,-9,47,29,10,1024,1022,1020,16,16,16,11,2,18,0.00,0,,334
