BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,37,31,26,26,24,21,94,73,39,1011,1008,1006,19,11,8,39,13,45,0.00,4,Rain-Thunderstorm,53
2016-1-2,30,28,25,26,25,24,94,87,74,1013,1011,1009,19,11,8,27,8,,0.51,6,Rain-Thunderstorm,124
2016-1-3,29,27,24,24,23,22,94,82,67,1015,1012,1010,19,10,5,29,14,,0.76,7,Rain,138
2016-1-4,31,28,24,23,22,20,83,71,49,1017,1015,1014,19,11,8,29,16,,0.00,5,,126
2016-1-5,31,27,23,22,21,19,83,69,50,1017,1016,1014,19,12,10,26,13,,0.00,2,,128
2016-1-6,31,27,23,22,20,19,78,65,50,1017,1014,1011,19,12,10,29,13,,0.00,1,,109
2016-1-7,31,27,24,22,22,20,83,72,56,1013,1010,1007,19,13,10,29,11,,0.00,1,,127
2016-1-8,32,28,23,24,23,22,91,75,55,1011,1009,1008,19,12,10,27,10,,0.00,2,,150
2016-1-9,31,27,23,24,23,21,94,76,51,1013,1011,1008,19,11,8,26,13,,0.51,3,,164
2016-1-10,32,28,23,25,23,22,100,79,57,1013,1011,1008,19,11,10,24,11,,0.00,2,,155
2016-1-11,30,27,24,25,23,23,94,84,70,1011,1010,1008,19,11,10,21,10,,0.00,6,Rain,155
2016-1-12,33,28,23,26,24,23,100,84,53,1010,1007,1005,19,10,7,21,11,,2.03,7,Rain,348
2016-1-13,32,28,24,26,24,24,100,86,64,1009,1007,1005,19,10,8,27,11,,1.02,5,Rain-Thunderstorm,157
2016-1-14,31,27,23,25,24,2,100,91,20,1009,1008,1007,11,7,4,23,10,,5.08,7,Fog-Rain-Thunderstorm,160
2016-1-15,31,27,24,25,24,23,100,92,58,1009,1007,1005,10,6,1,27,8,,24.89,7,Fog-Rain-Thunderstorm,179
2016-1-16,28,26,23,24,23,22,100,88,62,1012,1009,1006,14,7,2,23,11,,22.10,7,Rain,259
2016-1-17,28,25,22,23,21,18,94,78,54,1015,1013,1011,19,9,5,29,10,,0.76,7,Rain,137
2016-1-18,27,23,21,22,21,18,94,81,68,1015,1013,1011,19,10,9,23,10,,0.00,8,Rain,146
2016-1-19,24,23,22,22,21,20,100,92,83,1014,1012,1011,14,6,3,14,10,,7.87,8,Rain,198
2016-1-20,24,23,21,23,22,20,100,93,83,1013,1011,1010,10,5,1,11,5,,4.06,8,Rain,341
2016-1-21,28,26,23,24,22,20,94,82,60,1014,1012,1010,10,8,2,24,11,,5.08,6,Rain,278
2016-1-22,29,26,23,25,23,21,100,88,66,1015,1013,1011,11,8,4,21,11,,7.11,7,Rain,267
2016-1-23,31,27,23,24,22,20,100,82,55,1016,1014,1012,19,9,4,26,11,,9.91,4,Rain,302
2016-1-24,29,26,23,24,23,22,94,80,62,1015,1013,1012,19,11,9,21,10,,0.00,3,,175
2016-1-25,30,27,24,25,24,23,94,84,68,1014,1012,1009,19,12,10,23,8,,0.00,4,,152
2016-1-26,32,28,24,26,24,23,100,82,65,1012,1008,1006,19,11,9,27,8,,0.00,1,,151
2016-1-27,34,30,25,26,25,24,100,79,57,1013,1009,1006,19,10,6,29,10,,0.00,2,,176
2016-1-28,32,28,25,27,23,2,100,80,15,1015,1013,1012,14,8,5,21,10,,2.03,7,Fog-Rain-Thunderstorm,152
2016-1-29,31,28,24,26,24,24,94,85,70,1016,1014,1012,19,9,6,13,6,,1.02,5,Rain,107
2016-1-30,35,30,26,25,24,23,94,73,50,1015,1013,1012,19,14,10,23,6,,0.00,1,,78
2016-1-31,37,31,26,27,24,21,89,70,39,1016,1013,1011,19,14,10,21,10,,0.00,1,,13
2016-2-1,35,30,25,26,24,22,89,71,49,1015,1013,1012,19,13,10,26,10,,0.00,1,,44
2016-2-2,32,28,24,26,24,23,94,80,51,1015,1013,1011,19,11,9,32,13,,0.00,2,,162
2016-2-3,32,28,24,26,24,23,100,83,62,1014,1013,1011,19,10,6,24,11,,0.00,1,,148
2016-2-4,31,28,24,25,24,22,95,81,61,1014,1013,1012,19,10,6,26,10,,0.00,2,,146
2016-2-5,35,30,25,25,23,22,100,70,46,1014,1013,1011,19,14,10,23,8,,0.00,1,,114
2016-2-6,34,30,26,26,24,22,84,72,52,1016,1015,1013,19,12,10,27,10,,0.00,3,,160
2016-2-7,31,28,24,26,24,23,94,85,67,1016,1015,1014,19,12,10,21,10,,0.00,4,,151
2016-2-8,31,28,24,26,24,22,94,77,57,1016,1015,1012,19,12,9,27,10,,0.00,1,,136
2016-2-9,36,30,25,26,23,22,89,67,46,1015,1013,1011,19,17,10,23,8,,0.00,1,,45
2016-2-10,37,31,26,25,24,23,94,70,44,1013,1011,1010,19,11,10,29,11,,0.00,1,,32
2016-2-11,30,28,25,26,24,22,94,83,66,1014,1012,1011,10,9,5,24,10,,0.00,6,Rain,165
2016-2-12,31,27,23,24,21,20,94,69,55,1015,1013,1012,10,10,7,29,13,,0.00,3,Rain,165
2016-2-13,31,27,23,23,22,20,89,74,58,1014,1012,1010,10,10,10,29,8,,0.00,1,,138
2016-2-14,35,30,25,25,23,22,89,71,56,1012,1009,1007,10,10,10,26,10,,0.00,1,Thunderstorm,80
2016-2-15,36,30,24,26,25,23,94,80,53,1013,1010,1008,10,9,6,37,10,,0.00,3,Rain-Thunderstorm,33
2016-2-16,31,27,24,26,24,22,94,84,70,1015,1012,1010,10,9,3,26,11,40,0.00,4,Rain-Thunderstorm,17
2016-2-17,33,28,24,25,23,2,94,81,19,1014,1011,1009,10,9,5,26,11,,0.00,6,Rain-Thunderstorm,340
2016-2-18,36,30,25,25,23,22,94,73,44,1015,1011,1009,10,10,9,27,14,47,0.00,4,Rain,321
2016-2-19,37,30,24,26,23,12,94,75,31,1012,1010,1008,10,8,1,27,11,66,0.00,5,Rain-Thunderstorm,2
2016-2-20,33,28,24,26,24,22,94,83,62,1013,1011,1009,10,9,1,60,13,60,0.00,5,Rain-Thunderstorm,10
2016-2-21,31,27,24,25,24,22,94,84,62,1014,1012,1010,10,8,3,37,11,,0.00,4,Rain-Thunderstorm,1
2016-2-22,32,28,25,26,24,22,89,81,58,1015,1013,1010,10,8,4,27,11,50,0.00,5,Rain-Thunderstorm,286
2016-2-23,33,29,25,26,24,23,94,77,59,1016,1014,1013,10,10,10,32,6,,0.00,3,Rain-Thunderstorm,314
2016-2-24,34,29,25,26,24,23,94,76,52,1015,1012,1009,10,10,10,16,6,,0.00,5,Rain,3
2016-2-25,32,28,25,27,24,22,94,81,62,1012,1010,1008,10,10,8,24,10,42,0.00,5,Rain-Thunderstorm,62
2016-2-26,36,30,25,26,24,22,94,75,47,1011,1009,1007,10,10,10,32,11,,0.00,3,Thunderstorm,5
2016-2-27,35,30,26,27,24,23,89,74,59,1012,1010,1009,10,10,10,19,11,,0.00,4,,355
2016-2-28,36,31,26,27,25,22,94,78,53,1014,1011,1009,10,10,10,35,13,,0.00,2,,17
2016-2-29,28,24,22,25,23,21,100,91,84,1019,1014,1012,10,7,1,45,11,53,0.00,7,Rain,199
2016-3-1,26,23,21,23,21,20,94,88,74,1019,1018,1017,10,9,5,21,10,,0.00,7,Rain,159
2016-3-2,30,27,23,25,23,22,100,85,70,1017,1015,1012,10,9,3,23,10,,0.00,5,,160
2016-3-3,34,29,25,26,24,23,94,77,56,1013,1009,1006,10,10,8,11,8,,0.00,6,,20
2016-3-4,35,31,27,24,22,20,84,64,44,1010,1008,1006,10,10,10,19,8,,0.00,6,Rain-Thunderstorm,344
2016-3-5,32,28,25,25,23,22,89,77,55,1013,1011,1008,10,10,10,21,11,,0.00,3,,161
2016-3-6,32,28,25,27,25,23,100,83,66,1014,1013,1010,10,8,5,23,8,,0.00,4,Rain-Thunderstorm,115
2016-3-7,32,28,25,27,25,23,94,82,66,1016,1013,1011,10,9,5,26,10,,0.00,4,Thunderstorm,134
2016-3-8,31,28,26,26,25,24,94,85,70,1015,1014,1012,10,9,7,24,8,,0.00,4,,140
2016-3-9,32,28,25,26,24,23,94,78,62,1014,1012,1010,10,9,8,23,6,,0.00,1,,88
2016-3-10,36,29,23,25,23,22,94,67,44,1018,1009,1006,10,10,6,23,10,,0.00,5,Rain-Thunderstorm,336
2016-3-11,30,28,27,26,24,23,89,81,70,1010,1009,1007,10,9,6,27,10,,0.00,6,Rain,351
2016-3-12,32,27,23,25,24,21,100,81,62,1017,1012,1008,10,8,1,29,11,42,0.00,5,Rain-Thunderstorm,211
2016-3-13,27,26,24,24,23,21,94,86,74,1020,1018,1016,10,8,6,14,8,,0.00,6,,26
2016-3-14,30,27,24,24,23,22,94,81,66,1020,1019,1018,10,10,7,24,8,,0.00,3,,100
2016-3-15,30,28,25,25,24,23,94,83,66,1020,1019,1018,10,10,8,21,8,,0.00,5,Rain,150
2016-3-16,30,27,24,25,24,23,100,90,70,1020,1019,1018,10,7,1,29,10,,0.00,6,Rain-Thunderstorm,124
2016-3-17,32,28,25,26,24,22,94,84,70,1019,1017,1016,10,10,9,21,6,,0.00,6,Rain,79
2016-3-18,31,27,24,25,23,23,94,81,66,1018,1016,1014,10,10,10,29,10,,0.00,3,,80
2016-3-19,30,27,24,25,24,23,94,83,70,1017,1015,1012,10,10,8,26,11,,0.00,3,,120
2016-3-20,31,28,25,24,23,23,89,80,66,1017,1015,1014,10,10,10,23,10,,0.00,3,,138
2016-3-21,31,27,24,24,22,21,89,74,62,1017,1015,1013,10,10,10,23,8,,0.00,2,,125
2016-3-22,34,29,24,24,23,21,89,72,55,1014,1012,1011,10,10,10,21,10,,0.00,2,,35
2016-3-23,33,28,24,26,23,2,94,79,20,1016,1012,1010,10,8,5,29,11,,0.00,4,Rain-Thunderstorm,176
2016-3-24,30,27,23,24,23,22,94,83,66,1016,1014,1012,10,10,6,19,10,,0.00,5,Rain-Thunderstorm,161
2016-3-25,31,28,25,25,24,23,94,83,66,1016,1014,1011,10,10,10,24,10,,0.00,5,,161
2016-3-26,31,28,26,27,25,23,94,84,66,1015,1013,1012,10,9,6,13,5,,0.00,7,Rain,349
2016-3-27,33,29,25,26,24,21,94,77,49,1014,1013,1012,10,10,10,21,10,,0.00,2,Thunderstorm,91
2016-3-28,33,29,26,26,24,23,94,79,59,1015,1013,1011,10,10,10,21,10,,0.00,2,Thunderstorm,145
2016-3-29,31,28,26,26,26,23,100,86,75,1017,1015,1014,10,8,5,23,8,,0.00,4,,137
2016-3-30,33,29,26,26,24,22,89,81,59,1018,1017,1015,10,9,7,23,8,,0.00,6,,77
2016-3-31,32,29,26,27,25,24,94,85,70,1018,1016,1015,10,7,4,26,8,,0.00,4,Rain-Thunderstorm,95
2016-4-1,32,28,25,27,24,21,100,84,66,1017,1015,1013,10,8,4,27,8,,0.00,4,Rain-Thunderstorm,74
2016-4-2,31,27,24,25,23,21,89,80,70,1016,1014,1012,10,9,6,26,10,,0.00,3,,76
2016-4-3,31,28,25,26,24,23,89,80,66,1016,1013,1012,10,10,10,21,8,,0.00,2,,121
