BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,29,25,21,21,19,18,88,78,51,1016,1015,1013,19,10,2,26,16,45,8.89,5,Rain-Thunderstorm,325
2016-1-2,25,22,20,21,19,2,94,84,27,1017,1016,1014,14,9,5,21,10,,4.06,7,Rain,114
2016-1-3,23,21,20,19,18,17,94,86,70,1019,1016,1015,19,9,3,26,11,,0.00,8,Rain,135
2016-1-4,25,21,18,18,17,15,88,76,57,1020,1019,1017,19,11,8,26,16,,0.00,6,,127
2016-1-5,27,23,18,18,16,15,83,68,48,1021,1019,1017,19,11,10,24,14,,0.00,4,,117
2016-1-6,31,24,19,19,17,13,83,70,33,1019,1017,1015,19,11,9,23,11,37,0.00,4,,102
2016-1-7,31,26,20,21,17,14,83,61,26,1017,1014,1012,19,14,10,26,10,,0.00,2,,87
2016-1-8,31,27,22,21,17,15,73,62,40,1017,1014,1013,19,11,9,29,10,,0.00,2,Thunderstorm,134
2016-1-9,30,26,21,21,19,17,94,77,48,1018,1016,1015,19,10,1,34,10,66,20.07,5,Rain-Thunderstorm,107
2016-1-10,28,24,21,21,19,1,88,80,18,1018,1016,1014,19,10,4,24,10,48,1.02,7,Rain-Thunderstorm,47
2016-1-11,23,22,21,20,19,19,88,85,78,1017,1014,1012,14,10,7,27,19,47,2.03,6,Rain,339
2016-1-12,26,24,22,21,20,19,94,86,69,1013,1012,1011,19,10,2,27,14,,0.00,8,Rain,332
2016-1-13,28,24,22,21,20,19,88,82,60,1014,1012,1011,19,9,5,26,11,,0.00,8,,303
2016-1-14,25,23,21,21,20,19,94,86,72,1015,1013,1012,19,8,2,24,14,,13.97,8,Rain,143
2016-1-15,22,20,19,19,18,16,94,88,83,1014,1013,1011,14,8,3,23,13,,2.03,8,Rain,153
2016-1-16,24,21,18,17,16,6,88,78,38,1017,1014,1013,19,11,10,26,18,,0.00,6,,160
2016-1-17,24,20,16,15,14,13,88,69,47,1018,1016,1015,19,11,10,34,18,,0.00,2,,136
2016-1-18,22,20,18,16,15,14,83,76,59,1018,1016,1015,19,11,10,26,18,,0.00,7,Rain,129
2016-1-19,22,20,18,17,14,13,88,72,58,1018,1016,1015,19,11,5,27,19,,0.00,8,Rain,134
2016-1-20,21,19,17,18,16,14,94,83,71,1018,1016,1015,19,9,4,27,18,,0.00,8,Rain,142
2016-1-21,24,20,16,16,15,13,88,77,43,1020,1017,1015,19,10,5,29,18,45,0.00,6,Rain,148
2016-1-22,23,19,16,17,15,13,88,75,62,1020,1019,1017,19,11,10,29,18,,0.00,6,,139
2016-1-23,26,22,18,18,16,15,88,76,51,1020,1018,1016,19,11,10,24,13,,0.00,6,,138
2016-1-24,27,23,19,21,18,16,88,79,54,1019,1017,1015,19,8,3,26,8,,1.02,5,Rain,95
