KST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-4,-7,-10,-17,-19,-22,38,24,17,1026,1025,1023,19,19,16,35,23,,0.00,,,-1
2015-1-2,-2,-6,-9,-15,-16,-18,46,33,15,1028,1026,1024,19,19,18,35,14,,0.00,,,-1
2015-1-3,3,-3,-9,-4,-12,-17,58,41,25,1028,1025,1021,19,17,14,26,10,,0.00,,,-1
2015-1-4,8,4,0,1,-3,-6,76,58,46,1020,1019,1017,16,11,6,18,10,,0.00,,Rain,-1
2015-1-5,8,3,-1,-1,-2,-2,92,65,40,1022,1018,1013,6,5,3,26,13,,0.00,8,Rain,-1
2015-1-6,4,0,-7,2,-10,-18,97,48,16,1022,1016,1011,19,14,2,35,18,,0.00,8,Rain,-1
2015-1-7,-1,-5,-9,-18,-19,-21,28,20,12,1025,1023,1022,19,19,18,29,11,,0.00,,,-1
2015-1-8,-1,-5,-10,-12,-16,-18,42,29,14,1028,1026,1025,19,19,18,26,11,,0.00,,,-1
2015-1-9,3,-2,-7,-6,-9,-12,64,47,25,1027,1026,1024,19,16,11,21,8,,0.00,,,-1
2015-1-10,4,-1,-6,-2,-9,-14,69,41,26,1026,1024,1022,19,17,14,35,11,,0.00,,,-1
2015-1-11,2,0,-3,-1,-7,-12,75,51,28,1029,1023,1019,18,13,6,29,14,,0.00,,,-1
2015-1-12,3,-2,-8,-13,-16,-18,35,25,14,1036,1034,1030,19,16,13,29,13,,0.00,,,-1
2015-1-13,6,0,-6,-12,-13,-15,44,27,12,1037,1035,1033,18,14,11,21,6,,0.00,,,-1
2015-1-14,6,2,-1,-8,-9,-11,35,28,21,1032,1028,1024,11,10,6,18,8,,0.00,8,,-1
2015-1-15,9,3,-1,-2,-7,-11,49,36,23,1023,1022,1021,11,11,10,18,11,,0.00,,,-1
2015-1-16,3,1,-1,-1,-3,-7,81,67,52,1023,1020,1018,8,5,2,43,18,,0.25,8,Snow,-1
2015-1-17,0,-4,-8,-9,-14,-16,49,35,18,1031,1028,1022,19,16,6,35,21,,0.00,,,-1
2015-1-18,2,-2,-7,0,-9,-15,96,51,31,1030,1024,1016,19,14,0,18,10,,3.05,8,Snow,-1
2015-1-19,3,1,-3,0,-4,-10,91,64,45,1027,1022,1017,19,8,3,35,16,,0.00,8,Rain,-1
2015-1-20,4,-1,-7,-8,-9,-11,65,45,22,1030,1028,1026,19,15,11,18,8,,0.00,,,-1
2015-1-21,6,2,-2,-3,-6,-8,56,44,32,1027,1023,1020,14,11,6,18,11,,0.00,8,,-1
2015-1-22,7,4,1,-3,-3,-4,61,51,35,1020,1019,1018,19,12,6,11,6,,0.00,,,-1
2015-1-23,4,1,-2,-1,-4,-6,64,56,43,1023,1022,1021,19,14,3,18,13,,0.00,,,-1
2015-1-24,8,4,1,-2,-3,-5,59,50,34,1027,1026,1024,16,11,5,18,6,,0.00,,,-1
2015-1-25,5,3,1,3,-2,-3,93,67,47,1028,1025,1021,5,4,2,29,16,,2.03,8,Rain,-1
2015-1-26,6,4,1,5,2,-2,100,87,58,1022,1020,1019,10,4,2,26,11,,0.00,8,Fog-Rain,-1
2015-1-27,0,-2,-6,-3,-10,-14,66,46,24,1026,1025,1022,18,11,6,32,19,,0.00,,,-1
2015-1-28,2,-3,-9,-11,-14,-17,43,35,21,1031,1029,1028,19,15,10,18,10,,0.00,,,-1
2015-1-29,3,-1,-5,-7,-9,-11,50,45,37,1030,1028,1025,14,13,11,21,8,,0.00,8,,-1
2015-1-30,1,-2,-6,-9,-12,-16,58,39,20,1029,1026,1024,19,14,10,40,18,,0.00,,,-1
2015-1-31,1,-4,-9,-13,-14,-16,46,33,18,1034,1032,1030,19,19,19,26,13,,0.00,,,-1
2015-2-1,3,-3,-8,-12,-14,-16,52,32,15,1035,1033,1031,19,19,19,26,10,,0.00,,,-1
2015-2-2,6,0,-6,-9,-11,-12,49,34,15,1033,1032,1030,19,16,14,11,5,,0.00,,,-1
