AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,30,26,22,22,19,18,89,67,44,1015,1013,1010,23,11,4,39,18,48,0.00,3,Rain,35
2015-1-2,26,23,21,22,21,18,100,85,68,1020,1017,1015,23,10,8,35,23,48,0.00,6,Rain,175
2015-1-3,31,27,23,22,21,18,94,71,41,1020,1017,1015,31,12,10,48,19,61,0.00,2,,35
2015-1-4,33,27,22,21,20,18,88,68,39,1019,1015,1011,31,13,10,53,26,69,0.00,3,,51
2015-1-5,25,23,21,21,19,17,94,78,56,1020,1019,1017,26,11,10,35,26,,0.00,6,,165
2015-1-6,28,24,21,21,20,17,94,77,42,1021,1020,1018,31,12,10,24,16,,0.00,4,,144
2015-1-7,31,27,22,21,18,12,94,61,22,1021,1018,1016,31,13,10,42,14,,0.00,3,,50
2015-1-8,31,26,21,19,17,14,73,58,32,1018,1013,1009,31,16,10,52,23,71,0.00,2,,25
2015-1-9,32,27,22,21,19,18,83,64,36,1011,1009,1006,26,16,10,42,21,58,0.25,1,Rain-Thunderstorm,40
2015-1-10,28,24,21,22,21,19,100,80,51,1014,1010,1007,31,11,5,47,16,63,5.08,6,Rain-Thunderstorm,120
2015-1-11,22,21,20,21,20,19,94,92,84,1014,1012,1010,26,10,6,34,26,48,3.05,6,Rain,174
2015-1-12,23,21,20,20,19,17,94,82,69,1015,1013,1012,26,11,8,40,32,61,1.02,6,Rain,184
2015-1-13,27,23,19,21,19,18,100,80,54,1012,1007,1001,26,11,4,40,21,60,0.25,6,Rain,21
2015-1-14,34,28,23,23,17,13,94,54,19,1001,998,996,31,14,10,45,23,53,0.25,4,Rain,300
2015-1-15,26,23,22,19,16,13,73,56,40,1007,1004,1000,31,13,10,32,23,,0.00,2,,178
2015-1-16,28,24,21,19,18,17,88,64,41,1009,1006,1004,31,14,10,27,14,,0.00,4,,98
2015-1-17,35,28,21,21,12,5,88,40,9,1010,1007,1005,31,19,10,34,16,50,0.00,1,,295
2015-1-18,27,24,21,21,18,17,88,70,49,1013,1011,1009,26,11,10,29,24,,0.00,4,,163
2015-1-19,23,21,20,18,15,12,83,65,45,1017,1014,1012,26,11,8,35,27,,0.00,6,Rain,159
2015-1-20,26,22,18,19,17,14,94,72,40,1016,1013,1009,26,11,5,37,18,,0.00,5,Rain,49
2015-1-21,28,23,19,21,19,17,94,70,41,1014,1011,1009,26,11,4,35,19,37,0.25,3,Rain-Thunderstorm,71
2015-1-22,28,26,22,21,19,17,88,66,43,1014,1012,1010,26,12,10,35,16,,0.00,2,,47
2015-1-23,31,27,23,21,20,19,83,66,41,1011,1008,1005,31,13,10,47,21,55,0.00,3,,27
2015-1-24,31,27,23,22,19,16,89,62,30,1008,1006,1003,31,14,10,39,26,,0.00,2,Rain-Thunderstorm,31
2015-1-25,35,28,21,22,19,15,89,64,23,1009,1003,1001,31,15,10,50,18,69,0.00,2,Rain,304
2015-1-26,22,21,19,19,18,17,95,85,71,1015,1012,1009,26,9,3,34,27,53,3.05,7,Rain,182
2015-1-27,20,19,18,19,18,16,100,92,82,1014,1012,1011,18,8,1,27,18,,11.94,6,Rain,139
2015-1-28,21,19,17,18,16,13,94,81,59,1014,1013,1011,26,9,4,39,23,52,5.08,6,Rain,182
2015-1-29,21,18,15,14,11,9,77,58,40,1013,1011,1010,31,12,10,48,35,64,0.00,2,,203
2015-1-30,25,19,14,16,11,7,73,54,22,1011,1008,1005,31,13,10,35,23,,0.00,3,,221
2015-1-31,25,21,17,15,12,9,77,53,28,1009,1007,1005,26,12,10,24,14,,0.00,2,,178
2015-2-1,24,22,19,18,16,15,83,69,48,1012,1009,1007,31,13,10,32,16,,0.00,5,Rain,189
2015-2-2,22,21,19,17,16,12,83,68,47,1020,1015,1011,31,12,10,52,32,55,0.00,3,Rain-Thunderstorm,187
2015-2-3,23,21,20,16,13,11,73,56,37,1020,1018,1016,31,13,10,35,27,,0.00,3,Rain,167
2015-2-4,23,20,17,18,15,13,94,66,49,1019,1016,1014,31,13,8,37,16,55,0.00,5,Rain,214
2015-2-5,23,21,18,18,14,13,88,61,43,1026,1023,1019,26,11,8,35,24,52,0.00,6,Rain,132
2015-2-6,26,22,18,16,14,12,83,61,36,1028,1026,1025,31,12,10,21,13,,0.00,4,,167
2015-2-7,27,23,19,17,15,14,78,58,37,1026,1023,1020,31,13,10,29,13,,0.00,5,Rain,357
2015-2-8,33,26,19,23,17,13,94,59,26,1021,1018,1015,31,20,10,23,13,,0.00,1,,4
2015-2-9,27,24,22,23,19,18,94,75,53,1025,1023,1019,31,11,8,42,24,58,0.00,5,Rain,159
2015-2-10,27,24,22,20,19,18,88,72,51,1025,1023,1022,31,12,10,29,16,,0.00,4,,121
2015-2-11,30,26,22,20,18,15,88,62,31,1024,1022,1019,31,13,10,35,18,,0.00,2,Rain,42
2015-2-12,29,26,22,20,19,16,88,67,38,1024,1021,1019,31,12,6,29,16,,0.00,2,Rain-Thunderstorm,87
2015-2-13,27,23,20,21,19,16,100,78,45,1025,1023,1021,31,10,1,32,21,,0.25,5,Rain-Thunderstorm,157
2015-2-14,28,24,21,21,19,16,94,69,37,1024,1021,1018,31,12,10,34,14,,0.51,5,Rain-Thunderstorm,2
2015-2-15,29,24,19,20,18,16,94,67,43,1018,1016,1014,31,13,8,29,14,,0.00,3,Fog,15
2015-2-16,29,26,22,19,17,15,73,58,35,1018,1016,1014,31,13,10,37,24,,0.00,4,,36
2015-2-17,29,26,22,19,17,11,78,58,24,1019,1017,1016,31,13,10,42,23,,0.00,2,,36
2015-2-18,29,26,23,19,17,16,73,58,34,1021,1019,1018,31,12,10,37,23,,0.00,1,,43
2015-2-19,27,24,22,20,19,17,88,70,50,1022,1020,1018,26,12,10,29,14,,0.00,4,Rain,64
2015-2-20,27,24,21,21,19,17,88,75,44,1019,1017,1015,26,12,6,27,13,,0.00,6,Rain,82
2015-2-21,24,22,21,21,20,18,94,84,73,1017,1016,1015,31,11,2,26,16,,2.03,6,Rain,131
2015-2-22,27,23,20,21,19,18,94,74,49,1018,1017,1016,31,12,7,27,14,,0.00,3,Rain,82
2015-2-23,27,24,22,21,19,18,88,72,50,1018,1015,1013,31,12,10,29,14,,0.00,4,Rain,51
2015-2-24,24,22,21,21,19,18,94,82,69,1017,1015,1012,31,11,10,50,19,52,0.00,5,Rain,182
2015-2-25,23,21,19,20,17,16,94,78,56,1016,1015,1013,26,10,4,34,21,50,10.92,6,Rain,183
2015-2-26,27,23,19,21,18,16,94,72,50,1013,1009,1006,26,12,10,21,11,,0.00,6,Rain,121
2015-2-27,27,24,21,21,19,17,94,73,48,1011,1009,1008,31,12,9,24,18,,0.00,3,Rain,148
2015-2-28,28,24,20,21,19,16,94,69,38,1011,1009,1007,31,14,10,35,16,,0.00,3,,25
2015-3-1,38,29,20,21,18,14,100,67,18,1016,1007,1002,31,11,1,72,21,97,10.92,5,Rain-Thunderstorm,272
2015-3-2,24,21,18,17,14,12,73,59,38,1019,1017,1016,31,12,10,42,29,61,0.00,5,,170
2015-3-3,28,23,18,19,15,12,78,59,28,1018,1014,1012,31,18,10,32,13,,0.00,4,,13
2015-3-4,28,24,21,20,19,18,88,75,51,1014,1011,1007,31,13,10,27,18,,0.00,4,Rain,148
2015-3-5,26,23,19,20,13,4,94,55,15,1013,1008,1004,31,13,10,45,18,60,0.00,3,,226
2015-3-6,30,23,16,15,7,-2,63,38,8,1012,1007,1003,31,26,10,39,19,53,0.00,1,,288
2015-3-7,26,22,18,19,17,13,89,68,40,1013,1010,1008,31,12,10,34,18,,0.00,4,Rain,96
2015-3-8,24,22,20,20,19,18,88,80,67,1012,1010,1009,26,12,10,32,14,,0.00,6,,208
2015-3-9,31,26,20,22,17,11,94,65,24,1014,1011,1009,31,14,10,27,14,,0.00,4,,224
2015-3-10,25,23,21,21,19,18,88,78,62,1018,1016,1014,26,12,10,32,26,47,0.00,5,Rain,157
2015-3-11,29,24,21,21,19,17,94,74,47,1017,1015,1012,26,12,10,35,14,,0.00,3,Rain-Thunderstorm,274
2015-3-12,26,23,20,21,19,17,88,74,58,1017,1014,1012,26,12,10,35,18,50,0.00,4,,183
2015-3-13,23,20,18,17,16,12,88,72,45,1021,1019,1016,23,11,5,40,31,60,2.03,6,Rain,184
2015-3-14,24,20,16,15,13,11,88,60,34,1021,1016,1010,31,14,10,29,16,,0.00,3,Rain,5
2015-3-15,23,20,17,18,14,10,94,68,44,1017,1012,1007,31,10,1,52,27,69,7.11,5,Rain-Thunderstorm,189
2015-3-16,23,19,16,14,9,7,77,47,27,1018,1016,1015,31,13,10,35,23,,0.00,4,,137
2015-3-17,25,20,16,17,13,9,77,57,28,1016,1013,1011,31,13,10,27,14,,0.00,5,,357
2015-3-18,30,24,19,21,18,15,94,71,36,1011,1006,1002,31,14,10,32,11,,0.00,4,Rain-Thunderstorm,13
2015-3-19,27,23,19,21,18,16,88,69,45,1012,1010,1006,31,14,10,27,14,,0.00,1,,115
2015-3-20,29,24,19,21,18,16,94,78,40,1022,1013,1009,26,10,5,52,23,71,0.25,5,Rain-Thunderstorm,211
2015-3-21,23,20,18,17,14,10,94,63,34,1026,1024,1022,26,11,6,42,32,61,0.25,6,Rain,148
2015-3-22,25,22,18,19,16,13,88,66,43,1026,1023,1021,26,12,6,27,23,,3.05,6,Rain,71
2015-3-23,27,23,18,20,18,16,94,71,45,1021,1016,1012,31,12,10,35,18,50,0.00,4,,6
2015-3-24,26,23,20,21,19,18,100,85,62,1013,1011,1009,31,11,2,26,13,,9.91,6,Rain-Thunderstorm,173
2015-3-25,23,19,15,18,14,12,88,68,43,1019,1016,1013,31,13,10,32,23,53,0.25,2,,197
2015-3-26,28,23,18,14,10,-1,73,46,14,1020,1017,1014,31,14,10,32,13,,0.00,3,,300
2015-3-27,26,20,14,9,1,-5,41,24,10,1021,1019,1016,31,31,31,35,24,53,0.00,,,262
2015-3-28,22,19,15,11,8,3,60,44,23,1024,1022,1020,31,11,10,24,19,34,0.00,1,,199
2015-3-29,26,21,15,17,13,11,82,61,35,1024,1022,1020,31,13,10,27,11,,0.25,4,,360
2015-3-30,24,20,16,18,16,14,88,74,46,1026,1023,1021,31,12,2,42,13,,9.91,5,Rain-Thunderstorm,132
