MYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,30,28,25,24,23,22,94,81,66,1015,1013,1011,10,9,5,10,5,,0.00,6,Rain,325
2016-1-2,33,28,24,24,23,21,94,75,49,1015,1013,1011,10,9,6,16,3,35,0.00,6,,323
2016-1-3,33,29,25,25,24,23,94,81,55,1015,1013,1011,10,8,5,14,3,,0.00,6,Rain,300
2016-1-4,33,29,25,25,24,23,94,81,59,1015,1013,1010,10,8,1,19,5,,0.00,6,Rain-Thunderstorm,271
2016-1-5,32,28,25,26,24,23,100,87,66,1014,1012,1009,10,8,6,14,2,,0.00,6,Rain-Thunderstorm,299
2016-1-6,33,29,26,26,25,24,94,83,59,1014,1012,1009,10,7,2,19,3,,0.00,6,Rain-Thunderstorm,265
2016-1-7,34,29,25,25,24,21,100,76,46,1014,1012,1010,10,8,4,13,3,,0.00,6,,254
2016-1-8,34,30,26,25,24,22,94,77,49,1014,1012,1009,10,8,4,16,5,,0.00,6,,285
2016-1-9,33,29,25,25,24,22,94,77,52,1013,1011,1009,10,8,4,14,5,,0.00,6,Thunderstorm,246
2016-1-10,34,29,25,25,24,22,94,75,52,1013,1011,1009,10,9,6,14,3,,0.00,6,,245
2016-1-11,35,30,25,26,24,22,94,76,47,1013,1011,1009,10,8,6,13,5,,0.00,6,Rain-Thunderstorm,313
2016-1-12,34,29,25,25,24,23,94,80,52,1013,1010,1008,10,9,4,16,3,,0.00,6,Rain-Thunderstorm,298
2016-1-13,34,29,25,26,24,22,94,78,49,1012,1010,1006,10,7,3,16,3,,0.00,6,Rain-Thunderstorm,255
2016-1-14,34,29,25,26,24,22,94,82,59,1012,1010,1008,10,8,2,16,3,,0.00,6,Rain-Thunderstorm,304
2016-1-15,32,28,25,25,24,24,100,88,66,1011,1009,1006,10,8,1,14,3,,0.00,6,Rain-Thunderstorm,223
2016-1-16,33,29,25,25,24,24,100,86,59,1012,1009,1006,10,8,5,13,3,,0.00,6,Rain-Thunderstorm,313
2016-1-17,31,28,25,26,24,24,94,84,70,1012,1010,1007,10,8,5,16,5,,0.00,6,Rain-Thunderstorm,317
2016-1-18,33,29,25,26,25,24,100,86,59,1011,1009,1006,10,8,2,16,3,,0.00,6,Rain-Thunderstorm,169
2016-1-19,33,29,26,25,24,23,94,83,59,1013,1010,1008,10,8,4,23,3,42,0.00,6,Rain-Thunderstorm,205
2016-1-20,36,30,25,25,23,19,94,74,39,1013,1011,1008,10,9,5,11,3,,0.00,6,,172
2016-1-21,35,30,26,24,23,21,89,69,46,1013,1011,1008,10,10,6,16,5,,0.00,6,,146
2016-1-22,34,29,24,24,23,22,100,80,52,1013,1011,1009,10,8,0,16,5,,0.00,6,Rain-Thunderstorm,320
2016-1-23,34,29,24,24,23,22,100,82,49,1014,1012,1009,10,8,3,19,5,,0.00,6,Rain-Thunderstorm,316
2016-1-24,34,29,25,24,23,21,94,71,46,1014,1012,1009,10,9,8,13,6,32,0.00,6,,11
2016-1-25,35,30,26,24,22,20,78,61,44,1014,1012,1008,10,10,8,19,8,42,0.00,6,,57
2016-1-26,33,30,27,23,22,21,74,65,55,1013,1011,1008,10,10,8,13,8,,0.00,6,,60
2016-1-27,34,29,25,25,23,22,89,72,55,1013,1011,1007,10,10,9,13,3,,0.00,6,,65
2016-1-28,34,30,25,25,24,24,94,80,56,1013,1010,1008,10,8,0,24,5,,0.00,6,Rain-Thunderstorm,292
2016-1-29,33,29,25,25,24,23,94,84,59,1013,1011,1008,10,7,1,14,5,,0.00,6,Rain-Thunderstorm,338
2016-1-30,34,29,25,26,25,23,100,81,52,1013,1010,1008,10,9,5,19,3,,0.00,6,Rain-Thunderstorm,323
2016-1-31,34,30,26,25,24,22,94,78,55,1012,1010,1008,10,7,1,16,5,,0.00,6,Rain,300
2016-2-1,34,29,25,25,24,23,94,81,52,1012,1010,1008,10,8,5,19,2,,0.00,6,Rain-Thunderstorm,315
2016-2-2,35,30,25,25,23,20,94,73,44,1012,1010,1007,10,8,4,13,3,,0.00,6,,318
2016-2-3,31,28,26,25,24,23,89,80,62,1012,1010,1008,10,8,6,16,6,,0.00,6,Rain-Thunderstorm,215
2016-2-4,31,27,24,25,24,23,94,86,62,1012,1010,1008,10,8,5,10,3,,0.00,6,Rain,302
2016-2-5,29,27,26,25,25,24,94,88,74,1011,1009,1006,10,8,5,8,3,,0.00,6,Rain,329
2016-2-6,33,29,25,26,24,24,100,86,62,1011,1009,1007,10,8,3,13,3,,0.00,6,Rain,303
2016-2-7,33,29,25,24,23,22,94,78,55,1012,1010,1007,10,9,7,16,5,,0.00,6,Rain,11
2016-2-8,33,28,24,23,22,20,89,69,46,1012,1010,1008,10,9,8,11,5,,0.00,6,,2
2016-2-9,33,29,25,25,23,21,89,74,49,1012,1011,1009,10,8,4,14,3,,0.00,6,,315
2016-2-10,32,29,26,26,23,22,89,74,55,1012,1010,1008,10,9,6,14,3,,0.00,6,,36
2016-2-11,34,30,26,25,24,23,89,74,52,1012,1009,1007,10,9,8,19,5,,0.00,6,Thunderstorm,263
2016-2-12,35,30,26,25,23,21,89,69,44,1012,1010,1007,10,10,9,19,6,,0.00,6,,122
2016-2-13,34,30,26,25,24,23,89,75,55,1012,1010,1007,10,9,8,16,3,,0.00,6,Thunderstorm,327
2016-2-14,34,29,25,26,23,22,94,79,52,1012,1010,1008,10,9,5,24,5,,0.00,6,Rain-Thunderstorm,109
2016-2-15,34,29,25,25,24,23,94,80,52,1013,1011,1008,10,9,6,21,3,,0.00,6,Thunderstorm,289
2016-2-16,35,30,25,25,23,20,94,74,41,1014,1012,1009,10,8,5,29,6,,0.00,6,Rain-Thunderstorm,330
2016-2-17,34,29,25,23,20,18,79,60,41,1014,1012,1010,10,9,8,13,5,,0.00,6,,44
2016-2-18,33,28,24,24,22,20,89,71,49,1014,1012,1009,10,9,5,11,3,,0.00,6,Rain-Thunderstorm,30
2016-2-19,33,28,24,25,24,22,94,83,52,1014,1012,1010,10,8,4,13,3,,0.00,6,Rain,270
2016-2-20,32,28,25,25,24,22,94,82,55,1015,1013,1010,10,7,1,13,5,,0.00,6,Rain,295
2016-2-21,35,29,23,25,21,15,94,68,30,1014,1012,1010,10,8,4,19,3,,0.00,6,,328
2016-2-22,35,29,24,24,22,20,89,70,41,1015,1013,1011,10,8,6,13,3,,0.00,6,Rain-Thunderstorm,302
2016-2-23,35,29,24,27,23,21,94,78,49,1015,1012,1009,10,7,1,19,3,,0.00,6,Rain-Thunderstorm,336
2016-2-24,34,29,25,25,23,20,94,76,44,1014,1012,1009,10,8,6,14,3,,0.00,6,Rain-Thunderstorm,359
2016-2-25,34,29,25,24,22,19,94,66,44,1014,1012,1010,10,9,7,13,5,32,0.00,6,,70
2016-2-26,35,30,25,23,20,18,74,59,39,1015,1013,1010,10,10,10,14,8,,0.00,6,,39
2016-2-27,34,29,24,24,22,21,89,68,46,1015,1013,1010,10,9,8,14,5,,0.00,6,,332
2016-2-28,34,29,25,30,23,21,94,75,49,1015,1013,1010,10,9,2,14,6,,0.00,6,Rain-Thunderstorm,35
2016-2-29,34,29,24,25,24,22,94,76,49,1015,1013,1010,10,10,9,11,3,,0.00,6,,241
2016-3-1,34,30,26,26,24,21,89,78,46,1014,1012,1009,10,9,6,13,3,,0.00,6,Rain,13
2016-3-2,35,30,25,25,23,20,94,70,41,1014,1012,1009,10,10,9,13,3,,0.00,6,,6
2016-3-3,36,30,25,25,22,19,89,65,37,1015,1012,1009,10,10,9,13,3,,0.00,6,,357
2016-3-4,35,30,25,27,24,22,89,76,52,1013,1011,1008,10,8,5,19,3,,0.00,6,Rain-Thunderstorm,321
2016-3-5,35,30,26,25,24,21,94,79,44,1012,1010,1007,10,9,1,24,5,,0.00,6,Rain-Thunderstorm,322
2016-3-6,34,30,26,25,24,22,94,76,49,1013,1010,1007,10,9,6,16,5,,0.00,6,Thunderstorm,263
2016-3-7,36,31,26,26,25,23,94,77,50,1012,1010,1007,10,8,4,14,3,,0.00,6,Thunderstorm,233
2016-3-8,35,31,27,26,24,22,89,74,49,1011,1009,1007,10,8,4,16,5,,0.00,6,Rain-Thunderstorm,310
2016-3-9,35,30,26,25,24,23,89,73,49,1011,1009,1007,10,9,5,16,5,,0.00,6,Rain-Thunderstorm,276
2016-3-10,34,30,26,27,25,23,94,81,52,1012,1011,1009,10,6,2,14,3,,0.00,6,Rain-Thunderstorm,285
2016-3-11,34,30,27,27,26,24,89,77,56,1012,1010,1007,10,8,5,16,5,,0.00,6,Rain-Thunderstorm,273
2016-3-12,35,30,25,26,24,22,94,79,52,1012,1011,1008,10,7,2,16,5,,0.00,6,Rain-Thunderstorm,10
2016-3-13,35,30,25,25,24,22,94,79,49,1013,1011,1009,10,6,3,19,3,,0.00,6,Rain-Thunderstorm,309
2016-3-14,33,29,25,26,25,24,94,85,59,1013,1011,1009,10,5,2,14,3,,0.00,6,Rain-Thunderstorm,90
2016-3-15,33,29,25,26,25,24,94,82,59,1012,1010,1008,10,7,3,16,3,,0.00,6,Rain-Thunderstorm,298
2016-3-16,33,29,25,26,25,24,94,80,59,1012,1010,1008,10,7,3,13,3,,0.00,6,,163
2016-3-17,34,30,26,26,25,24,94,78,56,1012,1010,1008,10,7,3,16,3,,0.00,6,,271
2016-3-18,34,30,27,26,25,23,94,76,52,1012,1010,1007,10,8,4,19,3,,0.00,6,Thunderstorm,109
2016-3-19,35,30,26,26,25,24,94,75,53,1011,1009,1006,9,6,4,16,5,,0.00,6,,301
2016-3-20,33,30,28,26,26,24,89,77,59,1012,1010,1008,10,6,3,16,3,,0.00,6,,360
2016-3-21,35,31,27,26,24,23,89,74,52,1011,1009,1006,10,8,4,19,5,,0.00,6,,306
2016-3-22,30,28,27,26,25,24,89,84,74,1012,1010,1007,10,8,6,21,6,,0.00,7,Rain-Thunderstorm,266
2016-3-23,34,29,25,26,24,24,94,78,59,1012,1010,1008,10,9,6,19,5,,0.00,6,,302
2016-3-24,35,30,26,26,25,24,89,78,53,1012,1011,1008,10,8,6,19,5,,0.00,6,Rain-Thunderstorm,316
2016-3-25,35,30,26,26,24,22,89,75,49,1015,1012,1010,10,8,5,19,5,,0.00,6,Thunderstorm,119
2016-3-26,35,31,27,25,22,18,84,64,36,1014,1012,1010,10,9,6,13,5,,0.00,6,,74
2016-3-27,36,31,26,25,22,19,79,62,37,1014,1012,1009,10,9,6,13,5,,0.00,6,,23
2016-3-28,33,29,25,24,22,20,83,66,52,1014,1013,1011,10,9,7,16,3,,0.00,6,Rain,49
2016-3-29,36,30,24,23,22,18,89,64,34,1014,1012,1009,10,9,8,11,5,,0.00,6,,269
2016-3-30,36,31,26,24,22,20,84,63,39,1014,1012,1009,10,9,6,14,5,,0.00,6,,59
2016-3-31,36,31,26,25,23,19,89,70,37,1013,1011,1008,10,8,5,23,6,,0.00,6,Rain-Thunderstorm,295
2016-4-1,35,30,26,25,24,23,89,72,49,1012,1009,1006,10,7,3,13,3,,0.00,6,,299
2016-4-2,36,31,25,27,24,22,89,71,44,1013,1010,1006,10,7,2,13,5,,0.00,6,Rain-Thunderstorm,48
2016-4-3,36,30,25,24,23,20,94,69,41,1013,1010,1007,10,8,4,14,3,,0.00,6,,184
2016-4-4,36,31,27,26,24,22,84,69,44,1012,1010,1006,10,8,6,21,5,,0.00,6,,301
2016-4-5,34,29,25,25,24,23,94,78,56,1012,1010,1007,10,8,1,23,3,,0.00,6,Rain-Thunderstorm,10
2016-4-6,34,29,25,26,25,24,94,83,59,1012,1010,1008,10,7,4,19,3,,0.00,6,Rain-Thunderstorm,319
2016-4-7,34,30,27,27,26,25,100,84,63,1012,1010,1007,9,5,4,16,3,,0.00,6,Rain-Thunderstorm,279
2016-4-8,35,30,26,27,26,23,100,77,49,1012,1010,1007,9,6,4,19,3,,0.00,6,,197
2016-4-9,36,31,26,26,25,23,94,77,47,1012,1010,1007,7,4,2,19,3,,0.00,6,Rain-Thunderstorm,127
2016-4-10,35,30,26,27,26,24,94,77,56,1012,1010,1007,10,6,3,14,3,,0.00,6,,299
2016-4-11,34,30,26,27,24,23,89,73,52,1012,1010,1007,10,9,4,21,8,,0.00,6,Thunderstorm,300
2016-4-12,34,31,28,26,26,24,84,75,59,1012,1009,1006,10,10,8,21,10,,0.00,6,,309
2016-4-13,36,32,28,26,25,24,89,73,50,1010,1008,1006,10,9,6,26,10,,0.00,6,,304
2016-4-14,36,31,27,26,25,23,89,71,49,1011,1009,1007,10,10,9,19,6,,0.00,6,,313
2016-4-15,35,31,27,26,24,22,84,73,52,1014,1010,1007,10,9,6,14,6,,0.00,6,,268
2016-4-16,36,31,27,26,26,24,94,77,53,1012,1009,1006,10,9,6,19,5,,0.00,6,Rain-Thunderstorm,329
