GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,12,8,4,11,7,3,94,88,78,1033,1027,1020,18,9,5,39,21,60,0.51,7,Rain,209
2015-1-2,11,7,4,12,4,0,94,70,41,1035,1029,1019,31,16,3,35,24,50,0.00,2,Rain,258
2015-1-3,6,4,2,6,3,1,100,91,70,1033,1024,1014,31,10,2,19,10,,7.11,5,Rain,19
2015-1-4,3,1,-2,3,1,-2,100,97,90,1037,1035,1031,13,4,0,13,6,27,0.00,6,Fog,225
2015-1-5,10,6,2,8,5,2,100,86,67,1034,1029,1023,31,10,3,19,10,,0.25,6,,199
2015-1-6,10,6,2,9,4,1,100,83,63,1027,1021,1017,31,14,5,32,14,39,1.02,5,Rain,226
2015-1-7,10,6,1,9,4,-1,100,84,59,1027,1023,1018,29,14,10,34,14,53,0.25,4,Rain,211
2015-1-8,11,9,7,10,7,3,95,82,66,1027,1021,1016,31,13,3,34,23,,11.94,4,Rain,245
2015-1-9,16,11,6,13,9,5,94,79,57,1024,1018,1014,31,13,8,52,32,71,0.00,4,Rain,246
2015-1-10,14,9,4,11,5,-3,94,69,33,1020,1015,1009,31,13,8,61,35,69,0.76,4,Rain,258
2015-1-11,9,6,2,5,2,-1,87,71,47,1025,1022,1019,31,17,10,34,24,,0.51,4,Rain,253
2015-1-12,12,9,7,11,8,4,94,82,62,1020,1010,1002,31,13,3,42,29,66,3.05,5,Rain,225
2015-1-13,9,6,3,10,5,0,94,82,66,1004,1002,1000,31,13,5,35,24,47,2.03,3,Rain-Thunderstorm,238
2015-1-14,9,6,2,7,2,-1,93,74,47,1009,1004,992,31,13,8,42,26,60,2.03,3,Rain,223
2015-1-15,9,7,5,9,3,-2,94,71,40,997,991,987,31,13,5,53,34,69,0.51,3,Rain,227
2015-1-16,7,4,0,3,1,-1,93,73,47,1013,1005,998,31,20,10,34,19,48,0.25,1,Rain,255
2015-1-17,7,2,-3,2,-1,-4,93,80,54,1014,1012,1011,31,16,10,21,13,,0.25,1,Rain,224
2015-1-18,4,1,-1,3,1,-2,100,87,66,1015,1012,1010,27,11,5,11,6,,0.00,3,Rain,314
2015-1-19,5,2,-2,1,-1,-3,100,79,49,1016,1014,1012,31,12,5,13,6,,0.00,4,,298
