date,temperature,percentile-10,percentile-90
2015-01-07,29,23.0,28.0
2015-01-30,29,23.0,28.0
2015-02-06,26,26.7,30.0
2015-02-07,26,26.7,30.0
2015-02-10,26,26.7,30.0
2015-02-28,31,26.7,30.0
2015-03-29,27,28.0,31.0
2015-04-08,27,28.0,32.0
2015-04-21,33,28.0,32.0
2015-04-22,33,28.0,32.0
2015-05-05,29,30.0,32.0
2015-06-01,33,29.0,32.0
2015-06-06,33,29.0,32.0
2015-08-02,27,28.0,31.0
2015-08-17,32,28.0,31.0
2015-08-19,32,28.0,31.0
2015-09-16,26,27.0,31.0
2015-11-03,28,28.9,30.0
2015-11-17,31,28.9,30.0
2015-11-25,31,28.9,30.0
2015-11-27,28,28.9,30.0
2015-11-28,28,28.9,30.0
2015-12-01,31,27.0,29.0
2015-12-02,30,27.0,29.0
2015-12-03,30,27.0,29.0
2015-12-18,24,27.0,29.0
2015-12-19,24,27.0,29.0
2015-12-20,26,27.0,29.0
2016-01-17,31,23.0,30.0
2016-01-25,18,23.0,30.0
2016-01-26,19,23.0,30.0
2016-01-27,21,23.0,30.0
2016-02-07,22,24.6,29.0
2016-02-08,20,24.6,29.0
2016-02-09,23,24.6,29.0
2016-02-15,30,24.6,29.0
2016-02-23,30,24.6,29.0
2016-03-01,27,29.0,32.0
2016-03-02,28,29.0,32.0
2016-03-24,33,29.0,32.0
2016-04-01,31,31.9,33.0
2016-04-02,31,31.9,33.0
2016-04-11,34,31.9,33.0
2016-04-30,29,31.9,33.0
2016-05-01,30,31.0,34.0
2016-05-30,30,31.0,34.0
2016-05-31,29,31.0,34.0
2016-06-05,32,28.0,31.0
2016-06-09,32,28.0,31.0
2016-06-16,27,28.0,31.0
2016-06-18,27,28.0,31.0
2016-07-18,31,28.0,30.0
2016-07-22,31,28.0,30.0
2016-09-17,31,28.0,30.0
2016-09-21,27,28.0,30.0
2016-09-23,27,28.0,30.0
2016-10-16,27,28.0,30.0
