date,temperature,percentile-10,percentile-90
2015-01-07,-2,3.0,12.0
2015-01-08,-3,3.0,12.0
2015-01-09,-2,3.0,12.0
2015-01-20,13,3.0,12.0
2015-01-22,13,3.0,12.0
2015-01-31,14,3.0,12.0
2015-02-01,17,2.0,13.0
2015-02-05,14,2.0,13.0
2015-02-17,1,2.0,13.0
2015-02-18,-1,2.0,13.0
2015-03-19,3,4.0,12.0
2015-03-20,3,4.0,12.0
2015-03-28,13,4.0,12.0
2015-03-30,13,4.0,12.0
2015-04-18,19,8.0,18.1
2015-04-22,7,8.0,18.1
2015-04-27,19,8.0,18.1
2015-04-28,19,8.0,18.1
2015-05-01,13,15.0,21.0
2015-05-09,14,15.0,21.0
2015-05-10,14,15.0,21.0
2015-05-16,23,15.0,21.0
2015-05-26,22,15.0,21.0
2015-06-01,18,19.0,22.0
2015-06-15,26,19.0,22.0
2015-06-16,25,19.0,22.0
2015-06-27,18,19.0,22.0
2015-07-03,21,22.0,27.0
2015-07-14,20,22.0,27.0
2015-07-31,28,22.0,27.0
2015-08-10,23,24.0,28.0
2015-08-23,22,24.0,28.0
2015-08-26,23,24.0,28.0
2015-09-01,27,22.0,26.0
2015-09-06,29,22.0,26.0
2015-09-29,20,22.0,26.0
2015-09-30,17,22.0,26.0
2015-10-03,21,14.0,19.0
2015-10-05,20,14.0,19.0
2015-10-12,20,14.0,19.0
2015-10-24,13,14.0,19.0
2015-10-26,13,14.0,19.0
2015-10-31,13,14.0,19.0
2015-11-22,21,11.0,18.0
2015-11-29,10,11.0,18.0
2015-11-30,9,11.0,18.0
2015-12-01,12,6.0,11.0
2015-12-24,12,6.0,11.0
2015-12-30,3,6.0,11.0
2015-12-31,0,6.0,11.0
2016-01-02,-3,0.0,12.0
2016-01-11,14,0.0,12.0
2016-01-12,17,0.0,12.0
2016-02-06,4,6.0,16.4
2016-02-08,3,6.0,16.4
2016-02-14,18,6.0,16.4
2016-02-15,19,6.0,16.4
2016-02-16,21,6.0,16.4
2016-03-22,16,7.0,14.0
2016-03-27,5,7.0,14.0
2016-03-30,16,7.0,14.0
2016-03-31,17,7.0,14.0
2016-04-03,10,10.9,21.0
2016-04-04,9,10.9,21.0
2016-04-05,9,10.9,21.0
2016-04-18,24,10.9,21.0
2016-04-19,24,10.9,21.0
2016-05-04,13,14.0,22.0
2016-05-05,12,14.0,22.0
2016-05-08,13,14.0,22.0
2016-05-13,23,14.0,22.0
2016-05-30,24,14.0,22.0
2016-05-31,25,14.0,22.0
2016-06-10,17,18.0,26.0
2016-06-24,27,18.0,26.0
2016-06-25,27,18.0,26.0
2016-07-28,28,22.0,27.0
2016-07-29,28,22.0,27.0
2016-08-05,29,23.0,28.0
2016-08-06,29,23.0,28.0
2016-08-13,21,23.0,28.0
2016-09-18,28,16.0,26.0
2016-09-19,27,16.0,26.0
2016-10-02,20,12.0,19.0
2016-10-12,22,12.0,19.0
2016-10-30,11,12.0,19.0
2016-10-31,11,12.0,19.0
