date,temperature,percentile-10,percentile-90
2015-01-08,27,28.0,29.0
2015-01-09,27,28.0,29.0
2015-01-14,30,28.0,29.0
2015-01-24,27,28.0,29.0
2015-02-22,30,28.0,29.0
2015-02-23,30,28.0,29.0
2015-04-02,28,29.0,30.1
2015-04-15,31,29.0,30.1
2015-04-16,31,29.0,30.1
2015-04-17,31,29.0,30.1
2015-05-06,31,28.0,30.0
2015-05-09,31,28.0,30.0
2015-05-11,31,28.0,30.0
2015-05-26,27,28.0,30.0
2015-06-12,27,28.0,30.0
2015-06-21,31,28.0,30.0
2015-07-18,31,28.0,30.0
2015-07-26,27,28.0,30.0
2015-07-31,27,28.0,30.0
2015-08-03,27,28.0,30.0
2015-08-04,27,28.0,30.0
2015-09-19,31,27.0,30.0
2015-10-06,30,28.0,29.0
2015-10-23,30,28.0,29.0
2015-10-28,27,28.0,29.0
2015-10-31,27,28.0,29.0
2016-02-04,27,28.0,30.0
2016-02-05,27,28.0,30.0
2016-03-22,28,29.0,31.0
2016-04-05,29,29.9,31.1
2016-04-06,29,29.9,31.1
2016-04-13,32,29.9,31.1
2016-04-18,32,29.9,31.1
2016-04-19,32,29.9,31.1
2016-04-30,29,29.9,31.1
2016-05-17,31,28.0,30.0
2016-05-23,31,28.0,30.0
2016-06-17,26,27.9,30.0
2016-06-18,27,27.9,30.0
2016-06-20,27,27.9,30.0
2016-06-27,31,27.9,30.0
2016-07-01,31,28.0,30.0
2016-07-25,27,28.0,30.0
2016-08-02,31,29.0,30.0
2016-08-20,31,29.0,30.0
2016-08-23,31,29.0,30.0
2016-08-24,28,29.0,30.0
2016-08-30,27,29.0,30.0
2016-08-31,28,29.0,30.0
2016-09-26,31,27.0,30.0
2016-10-07,27,28.0,30.0
2016-10-16,27,28.0,30.0
2016-10-20,31,28.0,30.0
