date,temperature,percentile-10,percentile-90
2015-01-09,11,1.0,9.0
2015-01-20,-1,1.0,9.0
2015-01-23,-1,1.0,9.0
2015-02-02,-1,2.0,7.0
2015-02-03,1,2.0,7.0
2015-02-25,8,2.0,7.0
2015-02-28,8,2.0,7.0
2015-03-07,11,6.0,10.0
2015-03-25,5,6.0,10.0
2015-03-29,11,6.0,10.0
2015-04-14,14,8.0,13.1
2015-04-15,17,8.0,13.1
2015-04-25,14,8.0,13.1
2015-05-01,9,11.0,14.0
2015-05-04,15,11.0,14.0
2015-05-11,16,11.0,14.0
2015-05-14,9,11.0,14.0
2015-05-20,10,11.0,14.0
2015-05-24,16,11.0,14.0
2015-06-01,12,13.9,19.0
2015-06-07,13,13.9,19.0
2015-06-09,11,13.9,19.0
2015-06-26,20,13.9,19.0
2015-06-30,22,13.9,19.0
2015-07-01,29,15.0,20.0
2015-07-02,21,15.0,20.0
2015-07-04,22,15.0,20.0
2015-07-26,14,15.0,20.0
2015-07-29,14,15.0,20.0
2015-08-21,22,15.0,20.0
2015-08-22,23,15.0,20.0
2015-08-24,14,15.0,20.0
2015-08-31,14,15.0,20.0
2015-09-10,17,12.0,16.1
2015-09-11,17,12.0,16.1
2015-09-12,17,12.0,16.1
2015-10-05,14,10.0,13.0
2015-10-06,17,10.0,13.0
2015-10-14,9,10.0,13.0
2015-10-25,7,10.0,13.0
2015-10-27,14,10.0,13.0
2015-11-06,16,6.6,14.0
2015-11-10,15,6.6,14.0
2015-11-21,3,6.6,14.0
2015-11-22,2,6.6,14.0
2015-11-23,3,6.6,14.0
2015-12-19,14,8.0,13.0
2015-12-26,14,8.0,13.0
2016-01-19,1,2.0,10.0
2016-01-20,1,2.0,10.0
2016-01-24,11,2.0,10.0
2016-01-25,11,2.0,10.0
2016-02-01,12,3.0,10.0
2016-02-16,2,3.0,10.0
2016-02-21,13,3.0,10.0
2016-02-25,2,3.0,10.0
2016-03-05,3,4.0,9.0
2016-03-06,3,4.0,9.0
2016-03-08,3,4.0,9.0
2016-03-25,11,4.0,9.0
2016-03-26,10,4.0,9.0
2016-04-12,12,7.0,11.1
2016-04-14,12,7.0,11.1
2016-04-17,6,7.0,11.1
2016-04-19,12,7.0,11.1
2016-04-28,6,7.0,11.1
2016-05-01,9,11.0,18.0
2016-05-03,10,11.0,18.0
2016-05-08,20,11.0,18.0
2016-05-09,19,11.0,18.0
2016-06-01,12,12.9,19.0
2016-06-02,12,12.9,19.0
2016-06-03,12,12.9,19.0
2016-06-08,20,12.9,19.0
2016-07-15,15,16.0,22.0
2016-07-19,24,16.0,22.0
2016-07-20,25,16.0,22.0
2016-08-01,16,17.0,22.0
2016-08-09,16,17.0,22.0
2016-08-10,16,17.0,22.0
2016-08-24,26,17.0,22.0
2016-08-25,23,17.0,22.0
2016-09-07,23,14.0,22.1
2016-09-13,24,14.0,22.1
2016-09-14,23,14.0,22.1
2016-10-04,14,10.0,13.0
2016-10-05,14,10.0,13.0
2016-10-08,14,10.0,13.0
2016-10-23,9,10.0,13.0
