date,temperature,percentile-10,percentile-90
2015-01-01,9,13.0,20.0
2015-01-02,10,13.0,20.0
2015-01-03,11,13.0,20.0
2015-01-06,22,13.0,20.0
2015-01-07,21,13.0,20.0
2015-01-26,21,13.0,20.0
2015-02-12,22,15.7,21.3
2015-02-13,23,15.7,21.3
2015-02-14,22,15.7,21.3
2015-02-22,15,15.7,21.3
2015-02-23,14,15.7,21.3
2015-02-28,15,15.7,21.3
2015-03-01,14,16.0,25.0
2015-03-02,13,16.0,25.0
2015-03-03,14,16.0,25.0
2015-03-14,26,16.0,25.0
2015-03-15,26,16.0,25.0
2015-03-16,26,16.0,25.0
2015-04-07,15,16.0,22.1
2015-04-28,25,16.0,22.1
2015-04-29,24,16.0,22.1
2015-04-30,23,16.0,22.1
2015-05-01,22,16.0,20.0
2015-05-02,21,16.0,20.0
2015-05-08,14,16.0,20.0
2015-06-06,18,19.0,23.2
2015-06-28,25,19.0,23.2
2015-06-29,27,19.0,23.2
2015-06-30,26,19.0,23.2
2015-07-19,28,21.0,24.0
2015-07-20,26,21.0,24.0
2015-07-25,25,21.0,24.0
2015-08-09,22,23.0,28.0
2015-08-10,22,23.0,28.0
2015-08-11,22,23.0,28.0
2015-08-15,29,23.0,28.0
2015-08-28,29,23.0,28.0
2015-08-29,29,23.0,28.0
2015-09-09,32,23.0,29.1
2015-09-10,31,23.0,29.1
2015-09-11,30,23.0,29.1
2015-09-16,22,23.0,29.1
2015-10-04,20,22.0,28.0
2015-10-05,21,22.0,28.0
2015-10-06,21,22.0,28.0
2015-10-09,29,22.0,28.0
2015-10-10,30,22.0,28.0
2015-10-11,31,22.0,28.0
2015-11-01,23,13.9,21.1
2015-11-21,22,13.9,21.1
2015-11-22,22,13.9,21.1
2015-11-26,13,13.9,21.1
2015-11-28,13,13.9,21.1
2015-11-30,13,13.9,21.1
2015-12-07,20,11.0,19.0
2015-12-08,21,11.0,19.0
2015-12-27,9,11.0,19.0
2015-12-28,9,11.0,19.0
2016-01-06,11,12.0,17.0
2016-01-07,11,12.0,17.0
2016-01-21,18,12.0,17.0
2016-02-01,11,13.6,23.0
2016-02-02,11,13.6,23.0
2016-02-03,12,13.6,23.0
2016-02-10,24,13.6,23.0
2016-03-07,12,15.0,20.0
2016-03-12,14,15.0,20.0
2016-03-16,22,15.0,20.0
2016-03-17,21,15.0,20.0
2016-03-29,13,15.0,20.0
2016-04-08,16,17.0,23.0
2016-04-19,24,17.0,23.0
2016-05-13,21,17.0,19.0
2016-06-05,18,19.0,25.1
2016-06-19,27,19.0,25.1
2016-06-20,30,19.0,25.1
2016-06-21,26,19.0,25.1
2016-07-03,21,22.0,27.0
2016-07-04,21,22.0,27.0
2016-07-05,21,22.0,27.0
2016-07-22,28,22.0,27.0
2016-07-23,29,22.0,27.0
2016-08-14,25,22.0,24.0
2016-08-15,26,22.0,24.0
2016-08-20,21,22.0,24.0
2016-08-30,26,22.0,24.0
2016-09-12,20,20.9,27.0
2016-09-13,18,20.9,27.0
2016-09-14,19,20.9,27.0
2016-09-26,31,20.9,27.0
2016-09-27,29,20.9,27.0
2016-10-20,26,18.0,24.0
2016-10-21,26,18.0,24.0
2016-10-31,16,18.0,24.0
