date,temperature,percentile-10,percentile-90
2015-01-02,4,-7.0,3.0
2015-01-04,9,-7.0,3.0
2015-01-07,-9,-7.0,3.0
2015-01-08,-9,-7.0,3.0
2015-01-19,4,-7.0,3.0
2015-02-16,-11,-9.3,1.0
2015-02-20,-12,-9.3,1.0
2015-02-22,3,-9.3,1.0
2015-02-24,-10,-9.3,1.0
2015-03-01,-2,-1.0,8.0
2015-03-06,-7,-1.0,8.0
2015-03-07,-2,-1.0,8.0
2015-03-11,11,-1.0,8.0
2015-03-26,11,-1.0,8.0
2015-04-01,6,7.8,17.0
2015-04-08,5,7.8,17.0
2015-04-09,4,7.8,17.0
2015-04-18,21,7.8,17.0
2015-04-29,18,7.8,17.0
2015-05-01,13,16.0,25.0
2015-05-21,14,16.0,25.0
2015-05-26,26,16.0,25.0
2015-05-27,26,16.0,25.0
2015-05-28,26,16.0,25.0
2015-06-01,13,16.0,27.0
2015-06-02,12,16.0,27.0
2015-06-23,28,16.0,27.0
2015-07-04,22,23.0,29.0
2015-07-16,22,23.0,29.0
2015-07-19,30,23.0,29.0
2015-07-20,31,23.0,29.0
2015-07-29,31,23.0,29.0
2015-08-16,29,24.0,28.0
2015-08-17,31,24.0,28.0
2015-08-28,23,24.0,28.0
2015-08-31,29,24.0,28.0
2015-09-03,29,19.0,28.0
2015-09-08,31,19.0,28.0
2015-09-27,18,19.0,28.0
2015-10-09,21,9.0,19.0
2015-10-18,7,9.0,19.0
2015-10-19,7,9.0,19.0
2015-11-05,18,5.8,17.0
2015-11-06,21,5.8,17.0
2015-11-23,4,5.8,17.0
2015-11-24,4,5.8,17.0
2015-11-30,4,5.8,17.0
2015-12-19,3,4.0,16.0
2015-12-24,20,4.0,16.0
2015-12-25,17,4.0,16.0
2016-01-05,-7,-4.0,7.0
2016-01-10,10,-4.0,7.0
2016-01-16,8,-4.0,7.0
2016-01-19,-6,-4.0,7.0
2016-01-31,8,-4.0,7.0
2016-02-12,-6,-4.4,11.0
2016-02-13,-10,-4.4,11.0
2016-02-14,-14,-4.4,11.0
2016-02-29,12,-4.4,11.0
2016-03-03,-1,3.0,16.0
2016-03-04,2,3.0,16.0
2016-03-05,2,3.0,16.0
2016-03-10,22,3.0,16.0
2016-04-01,21,4.0,18.1
2016-04-04,3,4.0,18.1
2016-04-05,2,4.0,18.1
2016-04-18,19,4.0,18.1
2016-04-22,22,4.0,18.1
2016-05-01,9,11.0,26.0
2016-05-04,10,11.0,26.0
2016-05-26,27,11.0,26.0
2016-05-27,27,11.0,26.0
2016-05-28,28,11.0,26.0
2016-06-08,16,19.0,25.0
2016-06-09,17,19.0,25.0
2016-06-21,27,19.0,25.0
2016-07-02,21,23.0,29.0
2016-07-03,22,23.0,29.0
2016-07-09,21,23.0,29.0
2016-07-23,31,23.0,29.0
2016-08-13,32,23.0,28.0
2016-08-14,30,23.0,28.0
2016-08-15,29,23.0,28.0
2016-08-22,22,23.0,28.0
2016-08-23,22,23.0,28.0
2016-09-08,27,17.0,26.1
2016-09-09,28,17.0,26.1
2016-09-10,28,17.0,26.1
2016-09-29,16,17.0,26.1
2016-09-30,14,17.0,26.1
2016-10-17,22,9.0,19.0
2016-10-18,23,9.0,19.0
2016-10-19,24,9.0,19.0
2016-10-26,7,9.0,19.0
2016-10-28,8,9.0,19.0
