date,temperature,percentile-10,percentile-90
2015-01-05,-1,1.0,8.0
2015-01-09,11,1.0,8.0
2015-01-10,11,1.0,8.0
2015-01-13,9,1.0,8.0
2015-01-20,0,1.0,8.0
2015-01-22,-1,1.0,8.0
2015-02-06,-1,1.0,6.3
2015-02-14,7,1.0,6.3
2015-02-23,8,1.0,6.3
2015-02-26,8,1.0,6.3
2015-03-04,4,6.0,11.0
2015-03-26,4,6.0,11.0
2015-03-29,12,6.0,11.0
2015-04-05,7,8.0,16.1
2015-04-06,7,8.0,16.1
2015-04-14,17,8.0,16.1
2015-04-15,18,8.0,16.1
2015-04-16,17,8.0,16.1
2015-05-01,9,11.0,17.0
2015-05-11,19,11.0,17.0
2015-05-20,10,11.0,17.0
2015-06-01,13,14.0,22.1
2015-06-05,24,14.0,22.1
2015-06-26,23,14.0,22.1
2015-06-30,24,14.0,22.1
2015-07-01,28,16.0,26.0
2015-07-03,27,16.0,26.0
2015-07-04,28,16.0,26.0
2015-07-26,14,16.0,26.0
2015-08-03,25,17.0,24.0
2015-08-12,26,17.0,24.0
2015-08-25,16,17.0,24.0
2015-08-27,14,17.0,24.0
2015-08-30,26,17.0,24.0
2015-09-01,18,13.0,16.0
2015-09-10,17,13.0,16.0
2015-10-06,18,8.0,14.0
2015-10-14,6,8.0,14.0
2015-10-15,6,8.0,14.0
2015-10-16,6,8.0,14.0
2015-11-06,17,3.9,16.0
2015-11-07,18,3.9,16.0
2015-11-22,3,3.9,16.0
2015-11-23,2,3.9,16.0
2015-11-27,2,3.9,16.0
2015-12-10,3,6.0,12.0
2015-12-17,13,6.0,12.0
2015-12-22,13,6.0,12.0
2016-01-19,-3,-1.0,9.0
2016-01-20,-4,-1.0,9.0
2016-01-27,11,-1.0,9.0
2016-01-31,10,-1.0,9.0
2016-02-01,12,2.0,10.2
2016-02-17,0,2.0,10.2
2016-02-18,1,2.0,10.2
2016-02-21,12,2.0,10.2
2016-02-22,11,2.0,10.2
2016-03-01,3,4.0,10.0
2016-04-03,14,6.0,13.0
2016-04-21,14,6.0,13.0
2016-05-01,8,10.0,18.0
2016-05-13,19,10.0,18.0
2016-05-15,9,10.0,18.0
2016-05-21,19,10.0,18.0
2016-06-02,12,15.8,21.0
2016-06-03,12,15.8,21.0
2016-06-04,14,15.8,21.0
2016-06-22,23,15.8,21.0
2016-06-23,26,15.8,21.0
2016-07-03,16,17.0,23.0
2016-07-13,15,17.0,23.0
2016-07-14,16,17.0,23.0
2016-07-19,26,17.0,23.0
2016-07-20,24,17.0,23.0
2016-08-10,14,17.0,27.0
2016-08-11,16,17.0,27.0
2016-09-12,24,16.0,22.1
2016-09-13,27,16.0,22.1
2016-09-14,23,16.0,22.1
2016-09-26,14,16.0,22.1
2016-10-01,14,8.0,13.0
2016-10-16,14,8.0,13.0
2016-10-17,14,8.0,13.0
