date,temperature,percentile-10,percentile-90
2015-01-05,27,28.0,31.0
2015-01-06,27,28.0,31.0
2015-01-10,32,28.0,31.0
2015-01-30,32,28.0,31.0
2015-02-02,26,27.0,31.3
2015-02-12,32,27.0,31.3
2015-02-16,26,27.0,31.3
2015-02-19,32,27.0,31.3
2015-02-20,32,27.0,31.3
2015-03-06,30,25.0,28.0
2015-03-11,29,25.0,28.0
2015-03-12,29,25.0,28.0
2015-03-17,24,25.0,28.0
2015-03-23,23,25.0,28.0
2015-04-06,29,23.0,27.0
2015-04-21,29,23.0,27.0
2015-04-30,20,23.0,27.0
2015-05-04,27,22.0,26.0
2015-05-28,27,22.0,26.0
2015-05-30,21,22.0,26.0
2015-05-31,21,22.0,26.0
2015-06-14,27,19.9,24.0
2015-06-16,19,19.9,24.0
2015-06-20,19,19.9,24.0
2015-06-25,19,19.9,24.0
2015-07-05,18,21.0,24.0
2015-07-06,20,21.0,24.0
2015-07-14,26,21.0,24.0
2015-07-20,26,21.0,24.0
2015-07-21,26,21.0,24.0
2015-07-22,19,21.0,24.0
2015-08-01,27,21.0,24.0
2015-08-19,25,21.0,24.0
2015-08-25,20,21.0,24.0
2015-08-31,25,21.0,24.0
2015-09-05,19,19.9,29.0
2015-09-13,18,19.9,29.0
2015-09-14,19,19.9,29.0
2015-09-25,30,19.9,29.0
2015-10-05,21,22.0,28.0
2015-10-15,29,22.0,28.0
2015-10-16,31,22.0,28.0
2015-10-19,21,22.0,28.0
2015-10-31,29,22.0,28.0
2015-11-07,23,23.9,28.1
2015-11-14,29,23.9,28.1
2015-11-19,29,23.9,28.1
2015-11-20,29,23.9,28.1
2015-11-21,22,23.9,28.1
2015-11-30,23,23.9,28.1
2015-12-03,22,24.0,31.0
2015-12-04,22,24.0,31.0
2015-12-07,23,24.0,31.0
2015-12-28,32,24.0,31.0
2016-01-01,31,25.0,30.0
2016-01-18,23,25.0,30.0
2016-01-19,23,25.0,30.0
2016-01-20,23,25.0,30.0
2016-01-31,31,25.0,30.0
2016-02-10,31,27.0,30.0
2016-02-28,31,27.0,30.0
2016-02-29,24,27.0,30.0
2016-03-01,23,27.0,29.0
2016-03-04,31,27.0,29.0
2016-03-13,26,27.0,29.0
2016-04-14,29,25.5,28.1
2016-04-19,29,25.5,28.1
2016-04-22,29,25.5,28.1
2016-04-28,21,25.5,28.1
2016-04-29,21,25.5,28.1
2016-04-30,21,25.5,28.1
2016-05-18,21,22.0,26.0
2016-05-19,21,22.0,26.0
2016-05-24,20,22.0,26.0
2016-06-01,24,19.0,23.1
2016-06-02,26,19.0,23.1
2016-06-05,24,19.0,23.1
2016-06-12,18,19.0,23.1
2016-06-13,17,19.0,23.1
2016-07-18,19,20.0,26.0
2016-07-19,19,20.0,26.0
2016-07-21,19,20.0,26.0
2016-07-27,27,20.0,26.0
2016-08-15,27,20.0,26.0
2016-08-22,19,20.0,26.0
2016-08-29,27,20.0,26.0
2016-09-13,29,21.9,26.0
2016-09-20,20,21.9,26.0
2016-09-25,20,21.9,26.0
2016-09-30,21,21.9,26.0
2016-10-01,20,22.0,27.0
2016-10-02,21,22.0,27.0
2016-10-04,20,22.0,27.0
2016-10-14,28,22.0,27.0
2016-10-20,28,22.0,27.0
2016-10-27,28,22.0,27.0
