date,temperature,percentile-10,percentile-90
2015-01-10,29,22.0,28.0
2015-01-20,29,22.0,28.0
2015-01-31,20,22.0,28.0
2015-02-05,20,22.0,26.0
2015-02-06,21,22.0,26.0
2015-02-12,27,22.0,26.0
2015-02-13,28,22.0,26.0
2015-03-05,26,21.0,24.0
2015-03-23,20,21.0,24.0
2015-04-07,17,18.9,23.0
2015-04-20,24,18.9,23.0
2015-04-29,18,18.9,23.0
2015-04-30,16,18.9,23.0
2015-05-08,16,17.0,21.0
2015-05-13,16,17.0,21.0
2015-05-25,23,17.0,21.0
2015-05-27,23,17.0,21.0
2015-06-14,22,14.0,21.0
2015-06-19,13,14.0,21.0
2015-07-05,12,15.0,21.0
2015-07-13,23,15.0,21.0
2015-07-14,24,15.0,21.0
2015-07-15,22,15.0,21.0
2015-07-22,13,15.0,21.0
2015-07-25,14,15.0,21.0
2015-08-20,16,17.0,22.0
2015-08-24,16,17.0,22.0
2015-08-27,16,17.0,22.0
2015-08-30,23,17.0,22.0
2015-08-31,24,17.0,22.0
2015-09-12,13,16.0,27.0
2015-09-13,13,16.0,27.0
2015-10-05,17,18.0,26.0
2015-10-08,27,18.0,26.0
2015-10-15,28,18.0,26.0
2015-10-16,27,18.0,26.0
2015-10-18,17,18.0,26.0
2015-10-25,17,18.0,26.0
2015-11-07,18,19.0,24.2
2015-11-10,26,19.0,24.2
2015-11-11,26,19.0,24.2
2015-11-19,27,19.0,24.2
2015-11-30,18,19.0,24.2
2015-12-01,19,21.0,27.0
2015-12-07,20,21.0,27.0
2016-01-08,27,20.0,26.0
2016-01-20,19,20.0,26.0
2016-01-22,19,20.0,26.0
2016-01-26,27,20.0,26.0
2016-01-31,28,20.0,26.0
2016-02-01,28,22.8,27.0
2016-02-12,22,22.8,27.0
2016-02-22,22,22.8,27.0
2016-02-29,20,22.8,27.0
2016-03-01,18,22.0,26.0
2016-03-02,21,22.0,26.0
2016-03-13,20,22.0,26.0
2016-04-28,16,17.0,27.0
2016-04-29,14,17.0,27.0
2016-05-16,22,14.0,21.0
2016-06-01,20,11.0,19.0
2016-07-15,23,13.0,22.0
2016-07-18,12,13.0,22.0
2016-08-11,11,13.0,22.0
2016-08-22,11,13.0,22.0
2016-08-28,23,13.0,22.0
2016-08-29,24,13.0,22.0
2016-08-30,23,13.0,22.0
2016-09-12,23,14.0,22.1
2016-09-13,26,14.0,22.1
2016-09-18,24,14.0,22.1
2016-09-20,13,14.0,22.1
2016-09-25,13,14.0,22.1
2016-10-01,16,17.0,26.0
2016-10-19,27,17.0,26.0
2016-10-20,27,17.0,26.0
2016-10-29,16,17.0,26.0
