date,temperature,percentile-10,percentile-90
2015-01-01,-7,-5.0,4.0
2015-01-02,-6,-5.0,4.0
2015-02-01,-3,-2.3,6.0
2015-02-08,-8,-2.3,6.0
2015-02-09,-7,-2.3,6.0
2015-02-15,8,-2.3,6.0
2015-03-04,-2,1.0,12.0
2015-03-05,0,1.0,12.0
2015-03-10,-3,1.0,12.0
2015-03-19,13,1.0,12.0
2015-03-20,14,1.0,12.0
2015-03-30,13,1.0,12.0
2015-04-07,8,9.8,17.1
2015-04-08,8,9.8,17.1
2015-04-14,7,9.8,17.1
2015-04-27,18,9.8,17.1
2015-04-28,19,9.8,17.1
2015-04-30,21,9.8,17.1
2015-05-05,13,16.0,22.0
2015-05-12,14,16.0,22.0
2015-05-19,15,16.0,22.0
2015-05-28,23,16.0,22.0
2015-05-29,24,16.0,22.0
2015-06-05,20,21.0,26.0
2015-07-11,31,23.0,29.0
2015-08-07,30,24.0,29.0
2015-08-25,22,24.0,29.0
2015-08-26,22,24.0,29.0
2015-08-28,23,24.0,29.0
2015-09-01,26,21.0,24.0
2015-09-04,26,21.0,24.0
2015-09-12,19,21.0,24.0
2015-09-13,20,21.0,24.0
2015-10-03,21,10.0,19.0
2015-10-08,21,10.0,19.0
2015-10-20,20,10.0,19.0
2015-10-29,8,10.0,19.0
2015-10-30,6,10.0,19.0
2015-10-31,7,10.0,19.0
2015-11-06,14,1.8,13.1
2015-11-12,16,1.8,13.1
2015-11-17,14,1.8,13.1
2015-11-26,-1,1.8,13.1
2015-11-27,-3,1.8,13.1
2015-11-28,0,1.8,13.1
2015-12-10,8,-4.0,7.0
2015-12-27,-6,-4.0,7.0
2015-12-28,-6,-4.0,7.0
2016-01-02,4,-10.0,2.0
2016-01-03,7,-10.0,2.0
2016-01-04,3,-10.0,2.0
2016-01-19,-12,-10.0,2.0
2016-01-20,-11,-10.0,2.0
2016-01-24,-14,-10.0,2.0
2016-02-01,-6,-4.2,4.6
2016-02-02,-5,-4.2,4.6
2016-02-11,7,-4.2,4.6
2016-02-12,8,-4.2,4.6
2016-02-13,12,-4.2,4.6
2016-02-15,-7,-4.2,4.6
2016-03-01,-3,1.0,12.0
2016-03-04,13,1.0,12.0
2016-03-10,-1,1.0,12.0
2016-03-11,-1,1.0,12.0
2016-03-18,14,1.0,12.0
2016-03-31,13,1.0,12.0
2016-04-03,11,12.0,18.0
2016-04-09,10,12.0,18.0
2016-04-26,20,12.0,18.0
2016-05-03,13,16.0,23.0
2016-05-19,24,16.0,23.0
2016-05-21,24,16.0,23.0
2016-05-22,24,16.0,23.0
2016-06-15,21,22.0,26.0
2016-06-16,21,22.0,26.0
2016-06-22,27,22.0,26.0
2016-07-17,21,22.0,29.0
2016-08-21,32,22.0,31.0
2016-08-28,21,22.0,31.0
2016-08-30,21,22.0,31.0
2016-08-31,18,22.0,31.0
2016-09-04,26,20.9,24.2
2016-09-05,27,20.9,24.2
2016-09-14,26,20.9,24.2
2016-09-21,19,20.9,24.2
2016-09-28,20,20.9,24.2
2016-09-30,20,20.9,24.2
2016-10-03,23,11.0,21.0
2016-10-04,22,11.0,21.0
2016-10-05,22,11.0,21.0
2016-10-29,9,11.0,21.0
2016-10-30,8,11.0,21.0
2016-10-31,7,11.0,21.0
