date,temperature,percentile-10,percentile-90
2015-01-01,26,27.0,28.0
2015-01-05,29,27.0,28.0
2015-01-09,26,27.0,28.0
2015-02-04,26,27.0,28.3
2015-02-23,29,27.0,28.3
2015-02-27,29,27.0,28.3
2015-02-28,29,27.0,28.3
2015-03-11,26,28.0,29.0
2015-03-12,27,28.0,29.0
2015-03-21,30,28.0,29.0
2015-03-25,30,28.0,29.0
2015-03-29,27,28.0,29.0
2015-04-03,28,28.9,30.0
2015-04-20,28,28.9,30.0
2015-04-26,28,28.9,30.0
2015-05-03,27,28.0,30.0
2015-05-15,27,28.0,30.0
2015-05-23,27,28.0,30.0
2015-05-30,31,28.0,30.0
2015-06-14,26,27.0,30.0
2015-06-23,31,27.0,30.0
2015-07-04,26,27.0,30.0
2015-08-15,30,26.0,29.0
2015-08-21,30,26.0,29.0
2015-08-29,30,26.0,29.0
2015-09-10,27,27.9,30.0
2015-09-15,26,27.9,30.0
2015-09-16,27,27.9,30.0
2015-10-02,27,28.0,30.0
2015-10-07,27,28.0,30.0
2015-10-28,26,28.0,30.0
2015-11-16,27,27.9,29.0
2015-11-17,27,27.9,29.0
2015-11-23,30,27.9,29.0
2015-11-24,27,27.9,29.0
2015-12-24,26,27.0,29.0
2015-12-29,26,27.0,29.0
2016-01-01,27,28.0,29.0
2016-01-02,26,28.0,29.0
2016-01-03,24,28.0,29.0
2016-02-19,26,27.0,29.0
2016-02-24,26,27.0,29.0
2016-03-21,31,29.0,30.0
2016-04-15,28,29.0,31.0
2016-04-24,28,29.0,31.0
2016-05-04,31,28.0,30.0
2016-05-06,31,28.0,30.0
2016-05-10,31,28.0,30.0
2016-06-07,30,27.0,29.1
2016-06-24,26,27.0,29.1
2016-06-29,31,27.0,29.1
2016-06-30,30,27.0,29.1
2016-07-03,31,27.0,30.0
2016-07-21,26,27.0,30.0
2016-08-03,26,27.0,30.0
2016-08-21,26,27.0,30.0
2016-09-04,30,26.9,29.1
2016-09-07,26,26.9,29.1
2016-09-10,26,26.9,29.1
2016-09-12,26,26.9,29.1
2016-09-28,30,26.9,29.1
2016-09-29,30,26.9,29.1
2016-10-02,30,27.0,29.0
2016-10-03,26,27.0,29.0
2016-10-07,26,27.0,29.0
2016-10-11,31,27.0,29.0
2016-10-12,31,27.0,29.0
