date,temperature,percentile-10,percentile-90
2015-01-14,28,19.0,27.0
2015-01-17,28,19.0,27.0
2015-01-25,28,19.0,27.0
2015-01-29,18,19.0,27.0
2015-02-04,20,21.0,26.0
2015-03-01,29,20.0,24.0
2015-03-09,26,20.0,24.0
2015-03-16,19,20.0,24.0
2015-03-25,19,20.0,24.0
2015-03-28,19,20.0,24.0
2015-04-02,24,14.9,22.2
2015-04-16,24,14.9,22.2
2015-04-18,24,14.9,22.2
2015-04-26,14,14.9,22.2
2015-04-28,14,14.9,22.2
2015-04-29,14,14.9,22.2
2015-05-02,20,13.0,19.0
2015-05-05,21,13.0,19.0
2015-05-14,12,13.0,19.0
2015-05-20,20,13.0,19.0
2015-06-02,11,11.9,16.1
2015-06-03,11,11.9,16.1
2015-06-08,17,11.9,16.1
2015-06-09,17,11.9,16.1
2015-06-13,17,11.9,16.1
2015-06-21,11,11.9,16.1
2015-08-02,18,11.0,17.0
2015-08-22,21,11.0,17.0
2015-08-23,18,11.0,17.0
2015-09-01,12,12.9,18.0
2015-09-14,19,12.9,18.0
2015-09-15,22,12.9,18.0
2015-09-23,12,12.9,18.0
2015-09-24,11,12.9,18.0
2015-10-04,26,18.0,24.0
2015-10-05,27,18.0,24.0
2015-10-06,28,18.0,24.0
2015-10-23,17,18.0,24.0
2015-10-27,17,18.0,24.0
2015-10-28,17,18.0,24.0
2015-11-18,27,18.0,26.1
2015-11-20,32,18.0,26.1
2015-11-26,29,18.0,26.1
2015-12-01,28,19.0,26.0
2015-12-11,28,19.0,26.0
2015-12-19,27,19.0,26.0
2015-12-22,18,19.0,26.0
2015-12-28,18,19.0,26.0
2016-01-06,18,19.0,28.0
2016-01-15,17,19.0,28.0
2016-01-20,31,19.0,28.0
2016-01-21,30,19.0,28.0
2016-02-14,28,21.0,27.0
2016-02-25,29,21.0,27.0
2016-04-02,23,18.0,22.0
2016-04-06,27,18.0,22.0
2016-04-23,17,18.0,22.0
2016-04-25,17,18.0,22.0
2016-05-01,22,13.0,20.0
2016-05-10,21,13.0,20.0
2016-05-17,21,13.0,20.0
2016-05-28,12,13.0,20.0
2016-05-30,12,13.0,20.0
2016-05-31,12,13.0,20.0
2016-06-04,18,10.9,17.1
2016-06-09,19,10.9,17.1
2016-06-20,18,10.9,17.1
2016-06-25,10,10.9,17.1
2016-06-26,10,10.9,17.1
2016-06-27,10,10.9,17.1
2016-07-19,19,11.0,17.0
2016-07-22,19,11.0,17.0
2016-08-10,20,12.0,17.0
2016-08-26,11,12.0,17.0
2016-08-31,19,12.0,17.0
2016-09-04,13,14.0,18.1
2016-09-08,19,14.0,18.1
2016-09-09,20,14.0,18.1
2016-09-14,21,14.0,18.1
2016-10-07,23,14.0,22.0
2016-10-10,26,14.0,22.0
2016-10-23,13,14.0,22.0
2016-10-30,23,14.0,22.0
