date,temperature,percentile-10,percentile-90
2015-01-06,11,3.0,9.0
2015-01-21,2,3.0,9.0
2015-01-27,11,3.0,9.0
2015-01-30,2,3.0,9.0
2015-02-05,2,2.7,9.3
2015-02-09,2,2.7,9.3
2015-02-10,2,2.7,9.3
2015-02-23,12,2.7,9.3
2015-02-24,10,2.7,9.3
2015-02-25,10,2.7,9.3
2015-03-03,6,7.0,15.0
2015-03-07,6,7.0,15.0
2015-03-11,6,7.0,15.0
2015-03-18,16,7.0,15.0
2015-03-30,16,7.0,15.0
2015-03-31,16,7.0,15.0
2015-04-08,3,8.9,19.0
2015-04-09,8,8.9,19.0
2015-04-10,8,8.9,19.0
2015-04-28,21,8.9,19.0
2015-04-29,20,8.9,19.0
2015-05-05,18,19.0,23.0
2015-05-06,18,19.0,23.0
2015-05-11,18,19.0,23.0
2015-05-27,24,19.0,23.0
2015-05-31,27,19.0,23.0
2015-06-05,18,19.0,24.0
2015-06-15,25,19.0,24.0
2015-06-28,25,19.0,24.0
2015-07-05,20,21.0,30.0
2015-07-06,20,21.0,30.0
2015-07-09,19,21.0,30.0
2015-07-26,31,21.0,30.0
2015-08-07,32,21.0,31.0
2015-08-26,19,21.0,31.0
2015-08-29,20,21.0,31.0
2015-09-02,28,20.0,26.0
2015-09-03,27,20.0,26.0
2015-09-17,18,20.0,26.0
2015-09-25,17,20.0,26.0
2015-10-02,23,17.0,21.0
2015-10-03,22,17.0,21.0
2015-10-04,22,17.0,21.0
2015-10-26,16,17.0,21.0
2015-10-31,14,17.0,21.0
2015-11-09,19,10.0,17.0
2015-11-17,19,10.0,17.0
2015-11-25,8,10.0,17.0
2015-11-26,8,10.0,17.0
2015-12-11,16,7.0,12.0
2015-12-12,13,7.0,12.0
2016-01-05,10,3.0,9.0
2016-02-01,4,5.0,9.4
2016-02-13,14,5.0,9.4
2016-02-14,19,5.0,9.4
2016-02-21,11,5.0,9.4
2016-02-25,4,5.0,9.4
2016-03-08,17,6.0,14.0
2016-03-11,4,6.0,14.0
2016-03-19,16,6.0,14.0
2016-03-20,15,6.0,14.0
2016-04-02,10,11.9,19.0
2016-04-05,11,11.9,19.0
2016-04-12,10,11.9,19.0
2016-04-18,21,11.9,19.0
2016-05-02,17,18.0,23.0
2016-05-20,17,18.0,23.0
2016-05-30,17,18.0,23.0
2016-06-18,27,19.0,25.1
2016-06-19,26,19.0,25.1
2016-06-26,26,19.0,25.1
2016-06-28,18,19.0,25.1
2016-07-03,30,22.0,29.0
2016-07-05,21,22.0,29.0
2016-07-21,21,22.0,29.0
2016-07-22,21,22.0,29.0
2016-08-06,30,26.0,29.0
2016-08-09,31,26.0,29.0
2016-08-10,30,26.0,29.0
2016-08-22,25,26.0,29.0
2016-08-27,24,26.0,29.0
2016-08-28,23,26.0,29.0
2016-09-05,29,20.0,28.0
2016-09-06,29,20.0,28.0
2016-09-20,19,20.0,28.0
2016-09-22,19,20.0,28.0
2016-10-04,26,14.0,23.0
2016-10-06,26,14.0,23.0
2016-10-25,13,14.0,23.0
2016-10-28,12,14.0,23.0
2016-10-30,11,14.0,23.0
