BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,32,28,23,19,18,16,69,57,37,1017,1016,1014,19,13,10,27,14,,0.00,2,Thunderstorm,320
2015-1-2,32,27,23,21,18,17,88,61,30,1019,1016,1014,19,12,1,29,14,58,3.05,5,Rain-Thunderstorm,307
2015-1-3,27,23,21,21,20,19,94,82,65,1020,1019,1017,19,11,4,24,13,,0.00,6,Rain-Thunderstorm,142
2015-1-4,27,23,21,20,18,16,88,75,47,1021,1020,1018,19,11,7,24,10,,0.00,6,Rain-Thunderstorm,176
2015-1-5,27,23,20,20,18,17,88,76,54,1021,1020,1018,19,10,5,19,10,40,0.00,5,Rain-Thunderstorm,116
2015-1-6,29,24,20,21,18,15,83,68,32,1022,1021,1019,19,12,10,23,11,,0.00,3,Thunderstorm,46
2015-1-7,33,27,20,21,17,15,83,64,24,1021,1019,1016,19,10,2,29,11,45,19.05,5,Rain-Hail-Thunderstorm,11
2015-1-8,32,26,19,19,17,16,94,67,28,1020,1019,1016,19,10,0,29,10,85,0.00,3,Rain-Thunderstorm,328
2015-1-9,33,27,20,20,18,14,83,59,25,1019,1018,1016,19,14,10,19,6,,0.00,2,,322
2015-1-10,33,29,24,22,19,15,74,59,24,1020,1018,1016,19,13,10,27,10,39,1.02,5,Rain-Thunderstorm,238
2015-1-11,33,28,23,24,19,17,89,66,36,1020,1018,1017,19,9,4,26,11,37,7.87,3,Rain-Thunderstorm,94
2015-1-12,34,27,19,22,18,1,88,64,26,1020,1018,1016,19,10,1,39,11,85,22.10,4,Rain-Hail-Thunderstorm,350
2015-1-13,33,28,22,22,18,14,78,60,22,1021,1018,1015,19,13,5,23,8,29,0.51,3,Thunderstorm,108
2015-1-14,33,27,22,21,19,13,88,68,32,1021,1018,1016,19,8,3,37,11,,8.89,5,Rain-Thunderstorm,135
2015-1-15,31,27,22,22,19,17,83,69,43,1021,1019,1018,19,12,8,29,11,,0.25,4,Rain-Thunderstorm,154
2015-1-16,31,26,22,22,20,18,88,73,46,1021,1020,1018,19,9,6,24,14,,0.00,3,Thunderstorm,135
2015-1-17,34,28,22,20,18,14,88,58,21,1019,1017,1015,19,10,7,21,8,29,0.00,2,,142
2015-1-18,34,28,22,22,19,15,83,61,27,1019,1017,1016,19,12,9,24,10,,0.00,4,Thunderstorm,135
2015-1-19,34,28,22,21,18,10,88,61,23,1020,1018,1015,19,12,8,24,13,42,0.00,4,Rain-Thunderstorm,142
2015-1-20,34,29,23,22,18,12,78,56,16,1018,1016,1014,19,13,9,26,10,,0.00,2,Thunderstorm,114
2015-1-21,28,25,21,20,18,16,88,68,48,1020,1017,1016,19,11,2,29,16,,0.00,5,Rain,174
2015-1-22,24,22,19,19,17,10,88,76,39,1021,1019,1017,19,10,6,27,18,,17.02,5,Rain-Thunderstorm,166
2015-1-23,26,22,18,18,17,16,88,77,54,1021,1020,1018,19,11,8,27,18,,1.02,5,Rain-Thunderstorm,174
2015-1-24,28,23,19,19,17,16,88,75,45,1020,1018,1016,19,10,6,29,11,52,4.06,4,Rain-Thunderstorm,120
2015-1-25,30,24,19,20,16,14,83,61,29,1019,1017,1014,19,12,6,23,13,42,0.00,5,Rain-Thunderstorm,50
2015-1-26,29,24,19,18,17,15,94,71,40,1019,1017,1015,19,11,8,19,13,37,7.11,4,Rain-Thunderstorm,331
2015-1-27,28,24,21,20,18,17,88,69,46,1020,1018,1015,19,10,1,26,11,,12.95,4,Rain-Thunderstorm,322
2015-1-28,28,24,20,20,18,17,88,66,41,1020,1017,1015,19,12,10,24,11,,2.03,4,Rain-Thunderstorm,339
2015-1-29,28,26,22,19,18,17,78,62,41,1019,1017,1015,19,12,10,35,18,52,0.00,3,Rain-Thunderstorm,325
2015-1-30,24,22,20,19,18,17,88,77,64,1022,1019,1016,19,10,3,24,16,34,0.51,7,Rain,220
2015-1-31,23,20,18,19,18,16,94,84,66,1023,1021,1020,19,10,3,26,18,,0.00,7,Rain,157
2015-2-1,26,23,20,20,19,18,88,80,61,1021,1020,1019,19,11,6,24,14,,1.02,7,Rain,130
2015-2-2,25,22,20,19,18,15,88,78,54,1021,1019,1017,19,10,0,24,11,,0.00,5,Rain-Thunderstorm,133
2015-2-3,29,24,19,19,17,14,88,70,40,1019,1016,1013,19,12,10,27,10,,0.00,4,Thunderstorm,124
2015-2-4,24,22,20,18,17,15,88,71,58,1016,1014,1011,19,11,5,26,11,39,0.00,5,Rain-Thunderstorm,354
