SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,29,27,24,26,24,23,100,84,64,1014,1013,1011,14,9,5,24,8,,0.76,5,Rain,16
2016-1-2,28,26,23,26,24,23,100,90,82,1016,1013,1011,16,9,2,27,6,45,38.10,6,Rain-Thunderstorm,9
2016-1-3,27,24,23,25,24,23,100,92,83,1016,1013,1011,14,8,2,11,5,,8.89,6,Rain,343
2016-1-4,32,28,24,26,24,23,100,83,62,1015,1013,1011,18,10,7,23,8,,0.00,6,,48
2016-1-5,32,29,26,26,25,23,94,82,55,1014,1013,1009,16,11,10,21,8,,0.00,5,,40
2016-1-6,31,29,26,25,25,24,89,80,62,1015,1013,1010,19,11,5,21,11,,0.00,5,Rain,43
2016-1-7,32,29,27,25,24,22,89,76,57,1015,1013,1011,18,11,10,21,11,,0.00,6,,37
2016-1-8,32,29,26,25,24,23,89,76,48,1014,1012,1010,18,11,10,24,10,,2.03,5,,39
2016-1-9,32,29,26,25,24,23,94,78,54,1014,1012,1010,16,10,6,26,11,,2.03,6,Rain,33
2016-1-10,32,29,27,25,24,23,89,78,57,1014,1012,1010,18,11,10,21,10,,0.00,6,,36
2016-1-11,32,29,26,25,24,23,89,78,58,1014,1012,1009,18,10,8,19,8,,0.00,5,Thunderstorm,36
2016-1-12,32,29,27,25,24,23,89,76,54,1013,1011,1008,19,11,10,23,11,,0.00,6,,39
2016-1-13,32,29,27,25,24,24,89,77,58,1012,1010,1008,16,10,10,24,11,,0.00,6,,42
2016-1-14,32,29,27,26,25,24,94,79,63,1012,1010,1008,16,11,10,19,8,,0.25,6,Rain,36
2016-1-15,32,29,26,25,24,23,89,82,62,1011,1009,1007,16,10,2,16,6,,5.08,5,Rain,359
2016-1-16,33,29,26,26,25,24,94,84,54,1011,1009,1007,16,10,3,13,5,,11.94,6,Rain,11
2016-1-17,32,28,24,26,25,23,100,86,67,1012,1010,1007,16,10,1,13,6,,28.96,5,Rain-Thunderstorm,9
2016-1-18,32,28,23,26,25,23,94,81,59,1011,1009,1006,16,9,4,23,6,,3.05,6,Rain,27
2016-1-19,32,29,26,26,24,23,91,79,61,1014,1010,1008,16,11,10,23,8,,2.03,6,Rain,30
2016-1-20,31,29,27,26,24,23,94,78,56,1014,1012,1009,16,10,9,21,6,,0.51,6,Rain,31
2016-1-21,32,29,27,25,24,22,89,77,55,1013,1011,1010,18,11,10,19,10,,0.51,6,Rain,30
2016-1-22,31,29,26,26,25,24,94,79,64,1014,1011,1009,16,10,8,21,8,,0.00,5,Rain-Thunderstorm,23
2016-1-23,32,29,26,25,24,23,89,77,53,1014,1012,1010,18,10,7,23,10,,0.00,5,Rain,21
2016-1-24,32,29,27,25,24,24,89,77,57,1015,1012,1010,18,11,8,32,11,42,0.00,6,Rain,26
2016-1-25,32,29,27,25,24,22,84,76,59,1014,1013,1010,14,10,8,32,13,,2.03,6,Rain,39
2016-1-26,30,28,25,25,24,23,89,81,66,1014,1012,1009,14,10,5,24,11,,2.03,5,Rain,39
2016-1-27,32,29,26,26,25,23,94,79,59,1013,1011,1009,18,10,3,24,11,,1.02,6,Rain,41
2016-1-28,33,29,26,26,25,24,89,77,55,1013,1011,1008,16,10,8,21,10,,0.00,6,Rain,37
2016-1-29,32,29,26,26,25,24,94,79,60,1013,1011,1009,16,10,7,23,10,,0.00,6,,19
2016-1-30,32,29,26,25,24,23,89,77,52,1013,1011,1008,18,11,10,23,8,,0.00,6,,22
2016-1-31,32,29,26,25,24,23,84,75,53,1012,1010,1008,18,10,10,21,8,,0.00,6,,17
2016-2-1,32,29,26,25,24,22,94,74,54,1012,1010,1008,18,11,10,26,10,35,0.00,6,,17
2016-2-2,32,28,24,25,24,23,100,79,54,1012,1010,1008,18,10,3,21,8,32,8.89,6,Rain,11
2016-2-3,32,29,25,25,24,22,89,77,51,1012,1010,1008,18,11,10,23,8,,0.00,6,,23
2016-2-4,32,29,26,25,24,24,89,79,64,1012,1010,1007,18,11,10,16,8,,0.25,5,Rain,21
2016-2-5,31,28,26,26,25,24,94,81,61,1011,1009,1006,16,11,10,19,8,,0.25,5,Rain,36
2016-2-6,32,29,26,26,25,24,94,81,60,1011,1009,1007,18,10,8,27,14,,0.25,5,Rain-Thunderstorm,40
2016-2-7,28,27,25,26,24,23,100,85,70,1012,1010,1008,10,7,3,32,16,42,9.91,6,Rain-Thunderstorm,37
2016-2-8,29,27,25,24,23,22,83,74,64,1013,1011,1009,11,9,6,23,16,40,0.00,6,Rain,27
2016-2-9,28,27,26,23,23,22,83,79,68,1013,1011,1010,10,9,6,11,8,,0.00,6,Rain,360
2016-2-10,28,27,25,25,23,23,89,82,70,1013,1011,1009,11,9,6,14,8,34,0.25,6,Rain,8
2016-2-11,30,28,26,25,24,24,94,84,65,1012,1010,1009,19,10,9,16,10,,0.25,6,Rain,25
2016-2-12,32,28,24,26,24,20,94,81,61,1012,1010,1008,18,10,7,21,10,,0.51,6,Rain,27
2016-2-13,32,28,24,26,25,24,94,81,57,1012,1011,1008,18,10,9,21,11,,0.00,6,,50
2016-2-14,32,29,26,26,25,24,94,81,62,1013,1011,1009,16,10,5,21,10,,1.02,6,Rain,53
2016-2-15,32,29,26,26,25,24,94,79,57,1014,1012,1009,18,10,10,24,11,,0.00,6,,39
2016-2-16,32,29,27,25,24,22,89,76,54,1015,1013,1011,19,11,10,26,14,35,0.00,6,,35
2016-2-17,31,28,26,23,22,20,79,69,48,1015,1013,1011,18,11,10,26,14,,0.00,6,,37
2016-2-18,31,28,25,24,23,22,89,76,57,1014,1012,1010,16,10,8,26,8,,7.87,6,Rain,33
2016-2-19,28,26,23,25,24,23,100,93,79,1015,1013,1010,10,6,2,21,6,35,21.08,7,Rain,348
2016-2-20,29,27,23,26,24,23,100,86,67,1015,1013,1011,14,8,4,19,6,,2.03,7,Rain,12
2016-2-21,31,28,24,24,23,23,89,78,61,1016,1013,1011,14,10,10,32,10,,0.00,6,,24
2016-2-22,32,28,25,24,23,22,84,73,51,1016,1014,1012,18,10,10,21,10,,0.00,6,,24
2016-2-23,32,29,26,25,24,23,89,78,59,1015,1013,1010,18,10,9,21,8,,0.00,5,,20
2016-2-24,29,26,23,25,24,23,100,89,78,1014,1012,1011,11,8,1,19,8,47,58.93,5,Rain-Thunderstorm,9
2016-2-25,31,27,23,24,23,22,94,77,55,1015,1013,1011,14,10,9,27,11,42,0.00,6,Rain,22
2016-2-26,31,28,26,24,23,22,83,72,52,1015,1013,1011,18,10,10,24,13,,0.00,5,,36
2016-2-27,32,28,25,25,24,23,94,77,56,1015,1013,1011,18,10,7,24,11,,0.00,5,,31
