AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,26,22,18,16,15,14,83,61,37,1017,1015,1012,31,14,10,32,14,,0.00,2,,45
2016-1-2,24,21,18,16,15,14,88,65,45,1014,1013,1011,31,13,10,24,13,,0.00,6,,162
2016-1-3,24,22,19,19,16,14,88,65,51,1017,1014,1012,31,12,3,34,21,48,0.00,6,Rain-Snow,146
2016-1-4,24,22,19,19,17,14,100,76,49,1018,1016,1014,31,9,1,35,21,47,36.07,7,Rain,103
2016-1-5,21,19,17,18,17,15,94,81,65,1017,1015,1013,16,9,5,39,31,,6.10,7,Rain,122
2016-1-6,19,18,17,18,17,15,100,90,76,1014,1012,1010,14,7,3,47,31,61,13.97,7,Rain,165
2016-1-7,22,19,17,17,16,13,100,78,56,1019,1014,1011,26,10,4,55,34,64,0.00,5,Rain,208
2016-1-8,25,20,16,16,13,11,82,62,36,1022,1019,1017,26,13,10,24,16,,0.00,3,,146
2016-1-9,26,22,18,17,16,13,83,63,37,1022,1020,1017,31,13,10,27,13,,0.00,6,,93
2016-1-10,28,23,19,19,17,16,88,66,37,1021,1018,1015,31,13,10,39,13,,0.00,2,,15
2016-1-11,34,28,21,21,19,18,83,60,33,1015,1011,1007,31,17,10,35,18,,0.00,3,Thunderstorm,29
2016-1-12,33,28,22,22,19,17,89,69,30,1019,1012,1008,31,13,9,48,18,71,0.00,6,,197
2016-1-13,28,24,21,21,19,17,88,69,48,1020,1016,1013,26,13,10,34,21,,0.00,4,,105
2016-1-14,40,28,17,22,19,15,94,70,15,1020,1012,1007,26,9,3,93,23,113,8.89,5,Rain-Thunderstorm,224
2016-1-15,20,17,14,17,14,11,100,80,46,1027,1023,1019,26,9,3,50,39,69,4.06,6,Rain,188
2016-1-16,22,19,16,16,13,10,94,65,38,1027,1026,1025,26,12,10,34,27,52,0.51,6,Rain,166
2016-1-17,24,20,16,16,14,11,88,63,32,1026,1023,1021,31,13,10,26,19,,0.00,3,,159
2016-1-18,27,22,17,17,15,12,83,63,32,1021,1019,1016,31,14,10,29,14,,0.00,2,,28
2016-1-19,33,26,19,21,17,14,88,59,28,1017,1014,1011,31,31,31,35,16,,0.00,,,15
2016-1-20,39,31,22,22,16,5,89,50,6,1013,1011,1008,31,19,10,39,18,58,0.00,6,Rain,357
2016-1-21,37,30,23,23,21,17,100,68,21,1014,1010,1005,31,10,2,48,16,66,21.08,4,Rain-Thunderstorm,39
2016-1-22,27,24,22,23,22,21,94,87,68,1012,1008,1005,26,11,1,27,16,,21.08,6,Rain,43
2016-1-23,25,23,21,22,20,17,95,81,63,1012,1007,1002,31,11,5,39,19,52,0.51,5,Rain,211
2016-1-24,24,22,20,19,17,16,88,71,49,1013,1012,1011,26,11,6,26,19,37,0.25,7,Rain,166
2016-1-25,25,23,21,20,18,16,88,72,54,1016,1013,1012,31,12,9,27,13,,0.00,6,Rain-Thunderstorm,94
2016-1-26,27,23,20,20,18,16,94,69,44,1018,1016,1014,31,12,6,27,14,,0.25,5,Rain,64
2016-1-27,26,23,20,20,18,16,100,69,47,1018,1014,1010,26,11,5,32,19,48,0.00,7,Rain,22
2016-1-28,29,25,21,22,19,18,88,70,48,1011,1006,1002,31,12,7,32,19,,0.25,6,Rain,27
2016-1-29,29,26,22,22,21,18,94,78,44,1005,1002,1000,31,12,5,39,14,48,4.06,4,Rain-Thunderstorm,45
2016-1-30,25,22,19,23,21,18,100,87,71,1005,1003,1001,31,11,0,39,16,66,23.11,5,Rain-Thunderstorm,188
2016-1-31,31,24,18,21,17,6,100,68,13,1005,1003,1000,31,12,4,29,16,,0.00,5,,300
2016-2-1,24,22,20,19,17,11,83,68,36,1006,1003,1001,31,13,6,32,13,48,0.51,4,Rain-Thunderstorm,205
2016-2-2,26,21,16,18,15,13,88,65,42,1006,1005,1003,31,15,10,26,16,35,0.00,1,,197
2016-2-3,30,24,19,20,17,13,83,61,31,1008,1003,1001,31,16,10,37,13,,0.00,5,,19
2016-2-4,24,21,19,21,17,14,100,76,50,1016,1011,1007,19,9,3,53,42,72,2.03,7,Rain,190
2016-2-5,23,21,19,17,15,12,73,61,43,1019,1016,1014,19,11,9,47,39,,0.00,5,Rain,171
2016-2-6,26,23,20,19,16,14,88,62,36,1018,1017,1016,26,12,6,34,27,,0.51,4,Rain,145
2016-2-7,26,23,20,19,17,15,83,68,43,1019,1017,1016,31,12,10,26,14,,0.00,3,,157
2016-2-8,27,23,19,19,18,17,88,72,50,1020,1018,1017,31,13,10,24,14,,0.00,1,,176
2016-2-9,26,23,21,19,18,14,83,68,43,1021,1019,1018,31,13,10,32,19,52,0.25,3,Rain,158
2016-2-10,29,24,20,19,17,13,83,61,31,1018,1014,1011,26,13,10,37,14,,0.00,2,,5
2016-2-11,27,23,20,19,18,16,83,65,40,1016,1014,1012,31,13,10,27,13,,0.00,4,,55
2016-2-12,29,25,21,20,19,17,88,66,39,1017,1015,1013,31,13,10,32,13,,0.00,2,,50
2016-2-13,30,26,22,19,18,17,83,60,39,1015,1012,1009,31,14,10,39,19,,0.00,1,,19
2016-2-14,36,28,21,23,19,15,89,68,20,1011,1008,1005,31,15,10,40,18,58,0.00,3,Rain-Thunderstorm,45
2016-2-15,27,24,22,23,21,20,94,79,60,1012,1009,1006,19,11,10,27,21,,0.00,5,,178
2016-2-16,26,23,21,22,17,8,94,66,27,1012,1008,1005,31,13,10,35,19,,0.00,4,,195
2016-2-17,24,21,19,15,12,8,78,52,29,1012,1010,1007,31,13,10,34,27,52,0.00,4,Rain,159
2016-2-18,26,22,18,17,14,11,73,56,37,1011,1009,1007,31,13,10,24,14,,0.00,2,,136
2016-2-19,31,26,21,23,19,17,83,63,44,1012,1010,1008,26,13,10,35,16,,0.00,2,,11
2016-2-20,27,24,23,24,21,20,94,80,60,1023,1017,1012,26,11,10,50,27,,0.00,5,Rain,174
2016-2-21,26,23,21,21,21,19,100,82,59,1026,1024,1022,26,11,2,34,21,,0.25,3,Rain-Thunderstorm,154
2016-2-22,31,26,21,21,19,16,94,67,37,1026,1023,1020,31,14,10,35,11,,0.00,2,,12
2016-2-23,31,27,22,20,18,15,83,61,32,1022,1019,1015,31,17,10,37,16,,0.00,1,,22
2016-2-24,32,27,22,21,19,18,78,63,37,1017,1014,1011,31,23,10,39,23,58,0.00,1,,24
2016-2-25,37,29,22,21,18,14,88,54,18,1013,1010,1008,31,24,19,37,16,,0.00,,,23
2016-2-26,27,24,23,23,20,19,94,75,53,1018,1014,1009,26,11,9,58,26,77,0.00,4,,171
2016-2-27,27,24,22,19,17,15,83,62,38,1020,1019,1017,26,12,10,29,19,,0.00,4,,109
2016-2-28,27,24,21,18,17,14,83,61,37,1020,1018,1016,31,13,10,26,13,,0.00,3,,82
2016-2-29,25,23,21,21,19,17,88,76,63,1022,1020,1019,31,13,10,32,13,,0.00,4,Rain,183
2016-3-1,30,26,21,20,18,14,94,66,27,1022,1020,1018,31,13,10,32,14,,0.00,3,Rain,29
2016-3-2,30,26,21,21,18,16,88,64,34,1022,1019,1017,26,12,10,39,19,,0.00,4,,12
2016-3-3,30,27,23,21,19,17,83,65,40,1023,1020,1018,26,13,10,42,21,,0.00,3,,27
2016-3-4,30,27,23,20,18,16,78,62,37,1023,1021,1019,31,13,10,35,23,,0.00,2,,25
2016-3-5,30,25,20,19,17,15,88,61,33,1022,1020,1018,31,14,10,37,18,,0.00,2,,22
2016-3-6,29,24,19,20,18,17,88,65,39,1023,1021,1020,31,14,10,39,19,,0.00,3,,33
2016-3-7,30,25,20,20,19,17,94,68,41,1022,1020,1018,31,13,10,39,18,,0.00,1,,35
2016-3-8,29,26,22,20,18,15,78,62,35,1024,1022,1021,26,12,10,32,23,,0.00,1,,39
2016-3-9,30,27,23,21,20,18,83,66,41,1023,1019,1016,31,12,10,39,19,,0.00,3,,24
2016-3-10,25,23,22,22,21,20,94,87,75,1021,1019,1017,26,12,10,34,13,,0.00,6,,158
2016-3-11,29,26,22,22,21,19,94,73,46,1020,1019,1017,26,12,10,34,16,,0.00,6,,51
2016-3-12,30,26,22,21,20,18,94,70,42,1020,1018,1016,31,14,10,39,16,,0.00,2,,40
2016-3-13,30,27,23,21,19,15,83,63,34,1021,1019,1016,31,13,10,32,19,,0.00,5,,35
2016-3-14,29,25,21,22,21,19,94,79,47,1018,1016,1014,31,12,10,34,14,48,0.00,4,Rain,199
2016-3-15,24,22,19,21,19,18,100,86,61,1020,1018,1016,26,10,1,37,31,53,9.91,6,Rain,197
2016-3-16,24,22,19,20,18,16,94,77,56,1020,1018,1017,31,11,5,39,24,50,4.06,5,Rain,159
2016-3-17,26,23,19,20,18,15,94,72,40,1017,1014,1010,26,12,8,27,14,,0.00,3,Rain,30
2016-3-18,28,24,19,21,16,7,88,64,30,1010,1003,996,31,13,9,42,19,53,1.02,4,Rain,328
2016-3-19,21,18,15,12,8,5,59,44,28,1016,1011,1005,31,14,10,35,23,,0.00,2,,217
2016-3-20,20,18,17,17,14,11,100,77,56,1018,1017,1015,19,9,3,40,29,50,8.89,6,Rain,186
2016-3-21,20,18,15,17,15,14,100,89,73,1019,1017,1016,31,9,3,37,23,52,11.94,6,Rain,213
2016-3-22,21,18,14,16,14,13,94,78,56,1018,1016,1015,31,12,8,42,26,55,2.03,4,Rain,223
2016-3-23,24,19,14,15,13,12,82,63,39,1019,1017,1016,31,14,10,19,14,,0.00,1,,302
2016-3-24,28,22,17,17,13,7,83,56,18,1021,1019,1018,31,27,10,29,13,,0.00,6,,355
2016-3-25,25,22,20,18,16,13,83,66,35,1021,1017,1015,31,15,10,26,11,,0.00,5,Rain,317
2016-3-26,26,21,17,18,17,15,88,70,44,1019,1017,1015,31,12,10,24,14,,0.00,2,,74
2016-3-27,25,22,19,20,17,15,94,73,45,1019,1017,1016,31,12,4,29,16,,26.92,4,Rain,118
2016-3-28,24,21,19,20,19,18,100,86,65,1019,1017,1014,26,11,3,37,18,,0.00,6,Rain-Thunderstorm,168
2016-3-29,22,21,20,20,19,18,100,88,77,1017,1016,1015,26,11,6,35,24,,4.06,6,Rain,195
2016-3-30,28,23,19,18,12,6,88,55,16,1016,1014,1011,31,14,10,24,14,37,0.00,4,Rain,269
2016-3-31,23,20,17,15,11,7,73,53,32,1019,1016,1014,31,14,10,32,21,55,0.00,1,,210
2016-4-1,27,22,17,19,16,13,82,64,38,1019,1016,1014,31,13,10,34,14,,0.00,2,,357
2016-4-2,30,23,17,18,13,1,88,54,10,1020,1015,1014,26,18,10,32,13,,0.00,2,,264
2016-4-3,24,22,19,19,17,16,94,75,56,1025,1022,1020,26,11,5,34,24,,0.76,5,Rain,159
2016-4-4,23,21,18,19,18,18,100,86,65,1023,1021,1019,31,10,3,24,16,,1.02,6,Rain,140
2016-4-5,27,22,18,19,18,16,96,70,39,1020,1017,1014,26,13,10,48,19,66,0.25,2,Rain,16
2016-4-6,34,27,19,21,17,12,88,57,17,1016,1013,1010,26,21,10,39,18,,0.00,2,,8
2016-4-7,22,20,19,20,13,10,88,64,43,1024,1021,1015,31,12,10,42,29,,0.00,5,,162
2016-4-8,22,20,18,17,15,13,88,72,54,1024,1022,1020,26,12,10,16,10,,0.00,6,Rain,287
2016-4-9,23,20,16,17,16,13,94,74,48,1022,1020,1018,26,13,10,23,13,,0.00,3,,217
2016-4-10,27,21,16,16,13,8,88,61,20,1020,1017,1014,26,21,10,26,11,,0.00,2,,342
2016-4-11,23,19,14,16,12,8,78,57,30,1021,1017,1015,26,15,10,26,16,,0.00,3,,190
2016-4-12,21,19,18,17,14,12,94,72,51,1025,1022,1019,26,11,5,29,21,,0.51,5,Rain,163
2016-4-13,23,19,16,16,14,13,88,71,49,1029,1026,1024,31,12,10,27,14,,0.00,3,Rain,167
2016-4-14,24,20,16,17,15,13,94,75,49,1030,1028,1027,31,12,6,32,13,,0.25,4,Rain,8
2016-4-15,26,21,16,16,15,12,94,64,32,1028,1024,1021,31,22,10,32,13,,0.00,3,,9
2016-4-16,27,22,17,19,15,11,88,66,30,1022,1019,1017,31,18,10,24,11,,0.00,6,,8
2016-4-17,21,19,18,18,17,14,94,81,66,1022,1020,1018,26,12,9,34,26,52,1.02,5,Rain,194
2016-4-18,22,18,14,18,16,13,100,84,58,1022,1020,1019,26,11,1,29,16,,21.08,4,Rain,214
