JST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,4,1,3,-8,-12,62,29,21,1009,1003,995,31,23,19,23,14,,0.00,,,-1
2015-1-2,8,3,-2,-4,-10,-14,51,28,10,1013,1010,1008,31,25,19,14,10,,0.00,,,-1
2015-1-3,9,4,-1,-6,-8,-13,51,30,11,1017,1015,1010,31,31,31,19,11,,0.00,,,-1
2015-1-4,9,4,-1,-3,-6,-7,51,38,22,1017,1013,1011,31,31,31,10,6,,0.00,,,-1
2015-1-5,13,7,1,2,-2,-5,63,45,19,1020,1017,1014,31,28,26,13,6,,0.00,,,-1
2015-1-6,16,11,6,13,4,-5,96,56,29,1017,1004,994,26,17,6,27,16,,7.11,8,Rain,-1
2015-1-7,10,7,3,-6,-9,-11,30,23,14,1007,1003,999,31,27,19,24,18,,0.00,,,-1
2015-1-8,11,7,2,-7,-9,-11,30,20,11,1010,1009,1007,31,31,31,26,14,,0.00,,,-1
2015-1-9,11,7,3,-8,-9,-12,25,18,12,1013,1011,1009,31,31,31,27,16,,0.00,,,-1
2015-1-10,11,7,2,-7,-10,-13,30,19,8,1014,1012,1010,31,31,31,26,11,,0.00,,,-1
2015-1-11,11,6,0,-1,-4,-8,54,33,19,1015,1012,1008,31,29,26,16,10,,0.00,,,-1
2015-1-12,9,6,2,-5,-8,-11,41,27,15,1024,1019,1013,31,31,31,34,16,,0.00,,,-1
2015-1-13,12,7,2,-6,-7,-9,34,25,14,1030,1028,1024,31,31,31,24,14,,0.00,,,-1
2015-1-14,11,6,1,2,-3,-6,51,38,22,1030,1027,1023,31,24,14,11,6,,0.00,,,-1
2015-1-15,7,5,3,4,1,-3,96,67,35,1022,1013,1004,14,10,3,26,10,,35.05,8,Rain,-1
2015-1-16,13,9,4,5,-1,-6,78,43,15,1015,1012,1008,31,25,14,16,10,,0.00,,Rain,-1
2015-1-17,11,7,2,4,-2,-11,91,49,19,1016,1007,1003,31,19,14,32,13,,0.00,,Rain,-1
2015-1-18,11,5,-1,-7,-9,-12,43,24,10,1019,1017,1016,31,31,31,19,13,,0.00,,,-1
2015-1-19,12,6,-1,-3,-6,-9,48,31,15,1016,1012,1008,31,27,19,16,8,,0.00,,,-1
2015-1-20,11,7,3,-3,-6,-9,47,30,16,1028,1022,1016,31,24,19,19,13,,0.00,,,-1
2015-1-21,3,2,2,2,-3,-8,94,59,28,1031,1028,1023,31,12,3,16,10,,4.06,8,Rain-Snow,-1
2015-1-22,6,4,3,4,3,1,96,87,72,1022,1013,1002,8,6,3,19,8,,7.87,8,Rain,-1
2015-1-23,13,9,4,7,-1,-8,97,57,21,1016,1007,1000,31,21,6,27,11,,0.00,8,Rain,-1
2015-1-24,8,6,3,-3,-6,-8,53,33,25,1024,1021,1016,31,25,19,24,13,,0.00,,,-1
2015-1-25,12,7,1,3,-1,-4,63,48,31,1029,1027,1024,31,21,14,16,8,,0.00,,,-1
2015-1-26,13,9,6,8,4,2,85,65,44,1028,1023,1017,14,10,6,11,8,,4.06,8,Rain,-1
2015-1-27,16,11,6,7,4,-2,95,63,30,1016,1010,1006,14,9,3,16,10,,0.00,8,Rain,-1
2015-1-28,9,6,2,1,-7,-13,72,31,11,1024,1017,1011,31,24,14,24,13,,0.00,8,Snow,-1
2015-1-29,8,3,-1,-2,-8,-13,45,29,11,1029,1026,1024,31,25,19,16,11,,0.00,,,-1
2015-1-30,4,2,0,2,0,-4,94,83,43,1025,1017,1008,19,6,2,16,10,,10.92,8,Rain-Snow,-1
2015-1-31,10,6,1,2,-4,-12,95,45,10,1016,1012,1007,31,25,19,32,13,,0.00,,,-1
2015-2-1,8,4,1,-9,-11,-13,29,20,12,1022,1019,1016,31,31,31,32,21,,0.00,,,-1
2015-2-2,9,5,1,-7,-10,-12,38,21,14,1023,1022,1020,31,31,31,32,16,,0.00,,,-1
2015-2-3,10,5,0,-6,-7,-8,41,29,18,1024,1022,1021,31,31,31,16,10,,0.00,,,-1
2015-2-4,9,6,1,-2,-5,-8,50,37,18,1022,1020,1018,31,26,19,14,6,,0.00,,,-1
2015-2-5,2,2,1,2,1,-2,95,80,48,1019,1014,1011,19,8,3,14,10,,8.89,8,Rain-Snow,-1
2015-2-6,12,6,-1,1,-3,-8,93,53,15,1022,1016,1012,31,15,6,16,10,,0.00,,,-1
2015-2-7,9,6,1,4,-3,-8,88,48,22,1025,1023,1020,31,22,6,16,8,,2.03,8,Rain,-1
2015-2-8,7,4,2,3,2,1,97,82,60,1019,1011,1005,31,13,3,14,6,,6.10,8,Rain,-1
2015-2-9,4,2,1,2,-8,-12,95,39,18,1013,1010,1006,31,27,19,24,13,,0.00,,,-1
2015-2-10,8,2,-3,-3,-7,-11,51,36,15,1013,1011,1010,31,31,31,14,8,,0.00,,,-1
2015-2-11,11,6,0,2,-3,-8,63,41,21,1015,1012,1010,31,26,19,13,8,,0.00,,,-1
2015-2-12,13,7,1,3,-2,-4,79,44,21,1010,1005,1001,19,12,10,13,6,,0.00,,,-1
2015-2-13,12,7,2,3,-7,-17,87,39,5,1009,1003,1001,31,22,10,24,11,,0.00,,,-1
2015-2-14,11,4,-2,-9,-13,-16,26,16,6,1014,1012,1009,31,31,31,26,13,,0.00,,,-1
2015-2-15,12,6,0,-2,-7,-13,47,28,13,1015,1013,1010,31,24,19,27,14,,0.00,,,-1
2015-2-16,13,7,1,-2,-9,-12,42,20,9,1016,1014,1011,31,20,0,21,13,,0.00,,,-1
2015-2-17,5,3,1,3,-1,-4,93,67,38,1015,1014,1011,31,13,2,13,8,,3.05,8,Rain-Snow,-1
2015-2-18,4,3,2,3,2,2,94,92,88,1011,1009,1006,19,9,5,19,13,,7.87,8,Rain,-1
2015-2-19,13,7,1,2,1,-2,92,64,26,1016,1011,1009,31,22,14,14,8,,0.00,,,-1
2015-2-20,12,7,2,2,0,-2,84,57,28,1026,1021,1016,31,25,14,14,8,,0.00,,Rain,-1
2015-2-21,10,6,2,1,-1,-4,82,51,25,1029,1028,1026,19,17,14,16,6,,0.00,,,-1
2015-2-22,8,6,4,6,2,-1,92,68,51,1028,1024,1016,19,10,6,11,6,,6.10,8,Rain,-1
2015-2-23,19,12,6,11,8,6,98,80,51,1016,1011,1006,14,9,2,19,8,,2.03,8,Rain,-1
2015-2-24,12,10,7,7,6,2,89,67,47,1015,1013,1011,14,10,5,13,6,,0.00,8,Rain,-1
2015-2-25,13,10,7,2,1,-1,59,47,35,1022,1019,1015,19,13,10,19,10,,0.00,8,Rain,-1
2015-2-26,7,7,6,6,4,2,95,79,56,1023,1018,1008,14,9,5,14,10,,14.99,8,Rain,-1
2015-2-27,15,9,3,5,-2,-8,99,49,13,1017,1009,1005,19,19,19,27,10,,0.00,,,-1
2015-2-28,13,8,3,0,-7,-13,44,24,9,1028,1024,1017,31,21,19,23,14,,0.00,,,-1
2015-3-1,9,7,5,6,3,1,97,72,47,1026,1014,998,19,11,3,26,11,,28.96,8,Rain,-1
2015-3-2,14,10,6,3,-5,-9,54,26,11,1019,1010,1000,31,25,19,24,16,,0.00,,,-1
2015-3-3,7,6,3,2,-2,-6,73,47,29,1023,1020,1015,19,16,14,11,8,,7.87,8,Rain,-1
2015-3-4,17,10,3,8,4,-3,95,64,25,1014,1005,1002,19,13,3,19,10,,0.00,8,Rain,-1
2015-3-5,14,9,5,3,-6,-10,57,24,12,1022,1015,1008,31,20,14,24,13,,0.00,,,-1
2015-3-6,12,8,4,3,-2,-6,71,40,25,1026,1024,1022,26,20,19,13,8,,2.03,8,,-1
2015-3-7,8,6,4,3,3,2,91,76,62,1026,1024,1022,19,13,8,13,8,,0.51,8,Rain,-1
2015-3-8,11,8,6,7,5,3,90,74,60,1023,1022,1021,19,11,6,19,13,,0.51,8,Rain,-1
2015-3-9,9,9,8,9,7,5,98,84,68,1023,1015,999,19,10,5,16,10,,21.08,8,Rain,-1
2015-3-10,13,8,2,8,-1,-11,97,47,17,1006,998,994,31,23,10,21,14,,0.00,8,Rain,-1
2015-3-11,12,6,-1,-4,-8,-12,46,24,17,1012,1008,1006,31,31,31,24,13,,0.00,,,-1
2015-3-12,14,9,3,-3,-7,-10,31,22,12,1015,1011,1008,31,28,26,21,14,,0.00,,,-1
2015-3-13,14,8,2,1,-6,-11,44,22,13,1018,1016,1014,31,28,19,19,10,,0.00,,,-1
2015-3-14,13,9,4,2,-3,-11,53,33,11,1025,1020,1016,31,23,19,14,10,,0.00,,,-1
2015-3-15,13,9,4,6,2,-2,69,52,38,1028,1025,1022,19,17,14,11,6,,0.00,8,Rain,-1
2015-3-16,16,11,7,12,6,2,97,65,40,1025,1023,1021,14,9,3,10,6,,5.08,8,Rain,-1
2015-3-17,21,15,9,12,9,6,99,70,39,1022,1019,1015,19,9,2,16,8,,0.00,8,Rain,-1
2015-3-18,22,16,11,12,10,7,98,67,31,1020,1018,1016,14,9,3,14,8,,4.06,8,,-1
2015-3-19,16,13,10,12,11,8,99,86,65,1017,1010,1005,5,4,3,13,6,,2.03,8,Rain,-1
2015-3-20,14,12,9,9,8,7,87,70,52,1016,1014,1012,19,12,10,11,8,,0.00,8,,-1
2015-3-21,16,12,8,7,2,-4,74,47,18,1018,1016,1015,19,15,10,19,8,,0.00,8,Rain,-1
2015-3-22,18,12,6,8,6,3,73,52,39,1016,1013,1010,19,14,10,24,10,,0.00,,,-1
2015-3-23,17,11,5,4,-3,-12,73,32,7,1016,1012,1009,26,18,10,21,11,,0.00,8,Rain,-1
2015-3-24,15,9,4,1,-8,-12,61,23,8,1022,1019,1016,31,25,19,24,14,,0.00,,,-1
2015-3-25,14,8,2,-4,-7,-10,41,23,10,1030,1026,1022,31,31,31,27,16,,0.00,,,-1
2015-3-26,16,10,4,3,-6,-11,51,24,8,1032,1030,1027,31,31,31,23,14,,0.00,,,-1
2015-3-27,20,12,4,3,-3,-11,41,25,14,1028,1024,1021,31,29,26,19,10,,0.00,,,-1
2015-3-28,21,14,7,7,2,-3,63,35,14,1021,1018,1016,31,22,14,16,10,,0.00,,,-1
2015-3-29,21,15,9,11,6,-1,76,48,25,1017,1014,1011,31,24,19,21,11,,0.00,8,Rain,-1
2015-3-30,23,16,9,11,6,1,79,43,15,1021,1017,1013,19,18,14,19,11,,0.00,,,-1
2015-3-31,23,16,9,11,8,4,75,49,21,1022,1018,1014,26,18,10,34,16,,0.00,,,-1
2015-4-1,18,14,9,12,10,8,92,68,52,1014,1011,1006,19,8,3,23,10,,0.51,8,Rain,-1
2015-4-2,17,12,6,7,4,2,85,55,31,1022,1019,1014,26,19,14,21,13,,0.00,,,-1
2015-4-3,21,16,12,17,13,7,82,72,57,1018,1010,1005,19,13,6,35,21,,0.00,,Rain,-1
2015-4-4,13,12,10,16,7,3,83,58,45,1024,1018,1008,19,18,14,23,11,,0.00,8,Rain,-1
2015-4-5,11,10,8,11,8,4,99,85,60,1022,1017,1013,19,10,3,13,8,,5.08,8,Rain,-1
2015-4-6,23,17,11,14,12,9,99,69,43,1013,1011,1010,8,6,3,14,6,,0.51,8,Rain,-1
2015-4-7,11,9,7,10,9,6,95,87,72,1022,1016,1013,10,7,5,21,13,,2.03,8,Rain,-1
2015-4-8,4,3,2,6,3,2,92,86,79,1028,1025,1021,10,7,5,19,13,,6.10,8,Rain-Snow,-1
2015-4-9,13,8,3,3,-1,-4,80,51,26,1030,1028,1027,19,14,10,14,10,,0.00,,,-1
2015-4-10,12,8,5,8,3,1,94,67,40,1028,1025,1023,14,9,6,16,8,,7.11,8,Rain,-1
2015-4-11,16,12,8,12,9,8,98,82,59,1027,1021,1019,19,10,3,14,11,,1.02,8,Rain,-1
2015-4-12,18,13,8,8,5,0,91,52,21,1031,1030,1027,31,23,10,13,8,,0.00,,,-1
2015-4-13,11,9,8,9,8,6,99,84,64,1030,1025,1016,14,8,3,19,10,,33.02,8,Rain,-1
2015-4-14,14,11,8,13,11,9,100,95,86,1015,1011,1006,10,6,2,14,10,,16.00,8,Rain,-1
2015-4-15,21,17,11,12,8,3,100,58,31,1008,1003,999,31,21,8,34,13,,0.00,8,Rain,-1
2015-4-16,21,14,8,11,7,3,71,48,27,1012,1010,1008,19,12,10,16,8,,0.00,,,-1
2015-4-17,24,18,11,13,9,7,82,55,35,1016,1010,1007,19,13,8,23,11,,4.06,8,Rain,-1
2015-4-18,19,13,7,8,6,0,82,49,25,1020,1017,1014,26,22,19,34,13,,0.00,,,-1
2015-4-19,17,13,10,11,9,7,81,60,45,1018,1017,1015,19,12,10,11,5,,0.00,8,Rain,-1
2015-4-20,21,17,13,20,16,7,98,84,53,1015,1008,1001,8,6,5,34,14,,9.91,8,Rain,-1
2015-4-21,20,17,14,20,13,7,100,71,49,1017,1007,998,19,15,14,32,14,,0.00,8,,-1
2015-4-22,21,16,11,13,8,1,95,52,22,1021,1019,1017,14,12,10,24,8,,2.03,8,Rain,-1
2015-4-23,24,18,12,13,11,4,98,59,20,1023,1020,1017,19,14,8,23,8,,0.00,,,-1
2015-4-24,24,19,14,14,13,11,90,62,46,1023,1018,1014,14,12,10,26,13,,0.00,,,-1
2015-4-25,23,18,13,13,7,-2,81,44,18,1021,1017,1014,14,11,10,23,8,,0.00,,Rain,-1
2015-4-26,23,18,12,12,7,2,64,39,23,1022,1020,1017,19,19,14,21,10,,0.00,,,-1
2015-4-27,25,19,13,15,13,11,89,60,36,1020,1018,1015,14,10,10,21,10,,0.00,,,-1
2015-4-28,27,21,14,16,14,12,95,58,32,1019,1017,1016,14,10,8,16,8,,0.00,,,-1
2015-4-29,24,20,16,14,12,11,74,56,32,1018,1017,1015,19,17,14,19,13,,0.00,,,-1
2015-4-30,24,19,14,14,12,9,85,57,33,1016,1016,1014,19,19,14,16,8,,0.00,,,-1
2015-5-1,27,21,14,13,12,7,90,55,19,1016,1015,1012,19,19,14,16,8,,0.00,,,-1
2015-5-2,27,21,15,16,13,11,94,58,25,1017,1016,1015,19,17,14,16,8,,0.00,,,-1
2015-5-3,27,22,17,17,12,1,87,54,11,1017,1014,1011,19,17,10,19,8,,0.00,,,-1
2015-5-4,26,22,18,18,15,12,84,59,39,1011,1006,1001,31,25,19,32,16,,0.00,,Rain,-1
2015-5-5,22,18,14,18,5,1,84,32,21,1014,1008,1001,26,19,14,26,16,,0.00,8,,-1
2015-5-6,24,18,11,11,6,3,55,35,24,1014,1013,1011,26,18,14,19,10,,0.00,,,-1
2015-5-7,24,20,16,14,11,4,71,52,20,1013,1011,1010,19,14,10,16,8,,0.00,8,Rain,-1
2015-5-8,27,21,16,16,12,6,81,52,18,1013,1012,1010,19,14,8,16,8,,0.00,,,-1
2015-5-9,21,19,17,15,14,13,86,68,57,1013,1011,1009,19,12,6,16,8,,0.00,8,Rain,-1
2015-5-10,27,20,13,14,5,-3,89,37,10,1019,1012,1009,19,15,10,21,11,,0.00,,,-1
2015-5-11,23,18,12,8,0,-6,49,23,8,1024,1022,1020,31,23,14,24,13,,0.00,,,-1
2015-5-12,22,19,16,20,14,8,96,64,48,1019,1012,999,14,10,5,27,21,,10.92,8,Rain,-1
2015-5-13,28,23,17,21,12,7,94,47,18,1009,1003,997,31,21,14,32,18,,0.00,,,-1
2015-5-14,28,22,17,13,11,7,53,35,21,1012,1010,1008,19,15,14,21,10,,0.00,,,-1
2015-5-15,28,23,19,19,13,8,76,49,26,1013,1010,1007,19,14,10,23,10,,0.00,,,-1
2015-5-16,23,21,19,20,18,16,97,80,60,1007,1004,1002,14,8,5,19,8,,0.00,8,Rain,-1
2015-5-17,28,23,19,18,14,5,89,56,14,1013,1009,1005,14,12,6,21,10,,0.00,,,-1
2015-5-18,26,22,17,19,16,12,94,67,41,1015,1012,1008,19,13,10,21,13,,1.02,,Rain,-1
2015-5-19,24,20,16,21,18,16,99,87,68,1007,1004,1002,14,11,6,14,8,,0.00,8,Rain,-1
2015-5-20,27,23,18,19,16,13,98,64,39,1005,1002,998,26,14,5,14,10,,0.51,8,Rain,-1
2015-5-21,26,19,13,16,9,2,95,45,14,1014,1007,1001,31,21,8,21,13,,0.00,,Rain-Thunderstorm,-1
2015-5-22,26,20,15,14,12,9,76,50,26,1015,1013,1011,19,17,14,24,11,,0.00,,,-1
2015-5-23,27,21,16,15,12,8,69,48,24,1014,1012,1011,19,14,10,19,10,,0.00,,,-1
2015-5-24,26,22,18,16,13,9,79,51,27,1010,1009,1007,26,19,14,16,11,,0.00,8,,-1
2015-5-25,26,21,16,16,15,13,92,62,37,1011,1010,1008,19,19,14,16,8,,0.00,,,-1
2015-5-26,31,23,17,16,12,3,69,44,9,1010,1008,1005,19,19,14,16,8,,0.00,,,-1
2015-5-27,30,24,19,18,14,8,75,46,24,1013,1010,1008,19,15,10,21,10,,0.00,,,-1
2015-5-28,27,22,18,17,16,14,75,60,38,1016,1014,1013,14,10,8,19,10,,0.00,8,,-1
2015-5-29,23,21,18,19,18,16,98,77,56,1015,1010,1006,14,10,3,14,10,,5.08,8,Rain,-1
2015-5-30,29,23,18,19,17,14,96,62,30,1005,1002,999,31,18,10,19,11,,0.00,,,-1
2015-5-31,32,27,21,20,16,8,87,50,14,1009,1003,1000,19,14,8,19,8,,0.00,,,-1
2015-6-1,27,24,21,16,12,8,60,41,24,1014,1012,1009,19,14,10,19,11,,0.00,,,-1
2015-6-2,28,24,19,19,16,13,73,56,34,1014,1011,1008,19,17,14,23,13,,0.00,8,,-1
2015-6-3,23,22,21,21,19,18,96,84,68,1008,1001,998,19,9,3,19,10,,9.91,8,Rain,-1
2015-6-4,29,23,18,19,7,3,93,27,15,1009,1004,1000,31,27,19,24,16,,0.00,,,-1
2015-6-5,22,18,14,17,11,4,100,56,25,1011,1010,1007,31,20,5,14,10,,16.00,8,Rain,-1
2015-6-6,24,19,13,16,14,13,97,75,44,1017,1009,1003,26,15,3,16,8,,0.00,8,Rain,-1
2015-6-7,25,21,16,16,13,11,86,57,36,1020,1019,1017,19,18,10,19,8,,0.00,,,-1
2015-6-8,25,21,17,17,15,13,81,61,37,1020,1018,1015,19,18,14,21,13,,5.08,8,,-1
2015-6-9,22,19,17,19,18,17,100,89,73,1013,1005,1001,26,13,2,21,11,,0.00,8,Rain,-1
2015-6-10,28,22,17,18,17,12,99,64,40,1011,1008,1004,31,23,19,19,8,,0.00,,,-1
2015-6-11,27,23,19,19,17,15,79,63,41,1012,1010,1008,14,14,10,19,8,,0.00,,,-1
